name,position,team,xP,minutes,starts,total_points,value,gw
Carlos Vinícius Alves Morais,FWD,Fulham,1.4,0,0,0,50,1
Carney Chukwuemeka,MID,Chelsea,0.6,0,0,0,50,1
Cesare Casadei,MID,Chelsea,0.0,0,0,0,45,1
Chadi Riad Dnanou,DEF,Crystal Palace,1.9,0,0,0,45,1
Charlie Taylor,DEF,Southampton,0.0,0,0,0,40,1
Cheick Doucouré,MID,Crystal Palace,1.6,6,0,1,50,1
Chris Mepham,DEF,Bournemouth,1.9,0,0,0,45,1
Chris Richards,DEF,Crystal Palace,1.9,83,1,0,45,1
Chris Wood,FWD,Nott'm Forest,2.0,71,1,9,60,1
Christian Eriksen,MID,Man Utd,2.0,0,0,0,55,1
Christian Nørgaard,MID,Brentford,1.6,90,1,2,50,1
Christian Walton,GK,Ipswich,1.2,90,1,2,45,1
Christopher Nkunku,MID,Chelsea,1.3,57,1,1,65,1
Cieran Slicker,GK,Ipswich,0.0,0,0,0,40,1
Cody Gakpo,FWD,Liverpool,3.4,11,0,0,75,1
Cole Palmer,MID,Chelsea,2.4,90,1,2,105,1
Conor Bradley,DEF,Liverpool,3.4,13,0,1,50,1
Conor Chaplin,MID,Ipswich,1.0,64,1,2,55,1
Conor Coady,DEF,Leicester,0.0,0,0,0,40,1
Conor Gallagher,MID,Chelsea,1.2,0,0,0,60,1
Conor Townsend,DEF,Ipswich,0.0,0,0,0,40,1
Corrie Ndaba,DEF,Ipswich,0.0,0,0,0,40,1
Craig Dawson,DEF,Wolves,0.9,6,0,1,45,1
Cristian Romero,DEF,Spurs,2.9,90,1,2,50,1
Crysencio Summerville,MID,West Ham,2.2,17,0,1,60,1
Curtis Jones,MID,Liverpool,3.0,0,0,0,55,1
Daichi Kamada,MID,Crystal Palace,2.0,69,1,1,55,1
Dan Burn,DEF,Newcastle,2.9,90,1,5,45,1
Dane Scarlett,FWD,Spurs,0.0,0,0,0,45,1
Dango Ouattara,MID,Bournemouth,1.6,68,1,2,50,1
Daniel Bentley,GK,Wolves,0.0,0,0,0,40,1
Daniel Castelo Podence,MID,Wolves,1.0,15,0,1,55,1
Daniel Iversen,GK,Leicester,0.5,0,0,0,40,1
Daniel Jebbison,FWD,Bournemouth,1.0,21,0,1,45,1
Daniel Muñoz,DEF,Crystal Palace,2.4,90,1,4,50,1
Danilo dos Santos de Oliveira,MID,Nott'm Forest,1.6,14,1,1,50,1
Danny Ings,FWD,West Ham,1.4,5,0,1,50,1
Danny Ward,GK,Leicester,0.5,0,0,0,40,1
Danny Welbeck,FWD,Brighton,1.7,90,1,12,55,1
Darwin Núñez Ribeiro,FWD,Liverpool,3.4,0,0,0,75,1
David Brooks,MID,Bournemouth,0.0,0,0,0,50,1
David Datro Fofana,FWD,Chelsea,0.7,0,0,0,55,1
David Ozoh,MID,Crystal Palace,0.0,0,0,0,45,1
David Raya Martin,GK,Arsenal,5.0,90,1,8,55,1
Dean Henderson,GK,Crystal Palace,2.2,90,1,2,45,1
Dean Huijsen,DEF,Bournemouth,1.9,90,1,2,45,1
Declan Rice,MID,Arsenal,3.3,84,1,3,65,1
Deivid Washington de Souza Eugênio,FWD,Chelsea,0.4,0,0,0,50,1
Dejan Kulusevski,MID,Spurs,2.8,11,0,1,65,1
Deniz Undav,FWD,Brighton,0.0,0,0,0,55,1
Destiny Udogie,DEF,Spurs,2.9,90,1,2,50,1
Diego Carlos Santos Silva,DEF,Aston Villa,1.9,0,0,0,45,1
Diogo Dalot Teixeira,DEF,Man Utd,2.4,90,1,7,50,1
Diogo Teixeira da Silva,MID,Liverpool,3.6,78,1,8,75,1
Djed Spence,DEF,Spurs,2.4,1,0,1,45,1
Dominic Calvert-Lewin,FWD,Everton,2.0,75,1,2,60,1
Dominic Solanke-Mitchell,FWD,Spurs,2.9,90,1,2,75,1
Dominik Szoboszlai,MID,Liverpool,3.3,90,1,7,65,1
Dwight McNeil,MID,Everton,2.0,90,1,2,55,1
Eberechi Eze,MID,Crystal Palace,2.5,90,1,2,70,1
Eddie Nketiah,FWD,Arsenal,3.0,0,0,0,60,1
Ederson Santana de Moraes,GK,Man City,5.0,90,1,8,55,1
Edson Álvarez Velázquez,MID,West Ham,0.4,0,0,0,50,1
Elkan Baggott,DEF,Ipswich,0.0,0,0,0,40,1
Elliot Anderson,MID,Nott'm Forest,1.6,18,0,1,50,1
Emerson Leite de Souza Junior,DEF,Spurs,0.0,0,0,0,45,1
Emerson Palmieri dos Santos,DEF,West Ham,1.9,90,1,1,45,1
Emil Krafth,DEF,Newcastle,2.9,60,0,6,45,1
Emile Smith Rowe,MID,Fulham,2.0,63,1,3,55,1
Emiliano Buendía Stati,MID,Aston Villa,2.0,0,0,0,55,1
Emiliano Martínez Romero,GK,Aston Villa,3.1,90,1,3,50,1
Emmanuel Dennis,FWD,Nott'm Forest,1.4,0,0,0,50,1
Endo Wataru,MID,Liverpool,2.6,0,0,0,50,1
Enes Ünal,FWD,Bournemouth,0.0,0,0,0,55,1
Enso González,MID,Wolves,0.0,0,0,0,45,1
Enzo Barrenechea,MID,Aston Villa,1.6,0,0,0,50,1
Enzo Fernández,MID,Chelsea,0.6,90,1,2,50,1
Eric da Silva Moreira,MID,Nott'm Forest,1.0,0,0,0,45,1
Erling Haaland,FWD,Man City,5.0,90,1,7,150,1
Ethan Brierley,MID,Brentford,1.0,0,0,0,45,1
Ethan Nwaneri,MID,Arsenal,2.0,0,0,0,45,1
Ethan Pinnock,DEF,Brentford,1.9,90,1,0,45,1
Evan Ferguson,FWD,Brighton,0.9,0,0,0,55,1
Ezri Konsa Ngoyo,DEF,Aston Villa,1.9,90,1,2,45,1
Fabian Schär,DEF,Newcastle,2.8,27,1,-2,55,1
Facundo Buonanotte,MID,Leicester,1.1,78,1,2,50,1
Facundo Pellistri Rebollo,MID,Man Utd,1.6,0,0,0,50,1
Filip Jørgensen,GK,Chelsea,1.2,0,0,0,45,1
Filip Marschall,GK,Aston Villa,0.0,0,0,0,40,1
Flynn Downes,MID,Southampton,0.6,90,1,2,50,1
Francisco Jorge Tomás Oliveira,MID,Wolves,0.0,6,0,1,45,1
Frank Onyeka,MID,Brentford,1.6,6,0,1,50,1
Fraser Forster,GK,Spurs,2.7,0,0,0,45,1
Freddie Ladapo,FWD,Ipswich,0.0,0,0,0,45,1
Fábio Ferreira Vieira,MID,Arsenal,2.3,0,0,0,55,1
Fábio Freitas Gouveia Carvalho,MID,Brentford,1.6,6,0,1,50,1
Fábio Silva,FWD,Wolves,0.4,0,0,0,50,1
Gabriel Fernando de Jesus,FWD,Arsenal,3.2,5,0,0,70,1
Gabriel Martinelli Silva,MID,Arsenal,3.5,90,1,3,70,1
Gabriel dos Santos Magalhães,DEF,Arsenal,4.2,90,1,6,60,1
Garang Kuol,MID,Newcastle,2.0,0,0,0,45,1
Gavin Bazunu,GK,Southampton,1.2,0,0,0,45,1
George Earthy,MID,West Ham,0.0,0,0,0,45,1
George Edmundson,DEF,Ipswich,0.0,0,0,0,40,1
George Hirst,FWD,Ipswich,0.0,0,0,0,55,1
Giovani Lo Celso,MID,Spurs,2.1,0,0,0,50,1
Gonçalo Manuel Ganchinho Guedes,MID,Wolves,1.0,0,0,0,55,1
Guglielmo Vicario,GK,Spurs,3.6,90,1,2,50,1
Guido Rodríguez,MID,West Ham,1.6,84,1,2,50,1
Hamed Traorè,MID,Bournemouth,1.0,0,0,0,45,1
Hamza Choudhury,MID,Leicester,0.5,0,0,0,45,1
Hannibal Mejbri,MID,Man Utd,1.0,0,0,0,45,1
Harrison Armstrong,MID,Everton,1.0,0,0,0,45,1
Harrison Reed,MID,Fulham,1.6,1,0,1,50,1
Harry Clarke,DEF,Ipswich,0.0,0,0,0,40,1
Harry Maguire,DEF,Man Utd,2.4,80,1,5,50,1
Harry Souttar,DEF,Leicester,0.0,0,0,0,40,1
Harry Toffolo,DEF,Nott'm Forest,1.9,36,0,1,45,1
Harry Wilson,MID,Fulham,2.0,12,0,1,55,1
Harry Winks,MID,Leicester,0.5,90,1,2,45,1
Harvey Barnes,MID,Newcastle,3.3,20,0,1,65,1
Harvey Elliott,MID,Liverpool,3.0,0,0,0,55,1
Hugo Bueno López,DEF,Wolves,0.0,0,0,0,45,1
Hwang Hee-chan,MID,Wolves,1.3,90,1,2,65,1
Hwang Ui-jo,FWD,Nott'm Forest,1.0,0,0,0,45,1
Hákon Valdimarsson,GK,Brentford,1.0,0,0,0,40,1
Ian Maatsen,DEF,Aston Villa,2.4,16,0,1,50,1
Ibrahim Osman,MID,Brighton,0.0,0,0,0,50,1
Ibrahim Sangaré,MID,Nott'm Forest,1.0,90,1,2,45,1
Ibrahima Konaté,DEF,Liverpool,3.4,45,0,1,50,1
Idrissa Gueye,MID,Everton,1.6,90,1,2,50,1
Igor Julio dos Santos de Paulo,DEF,Brighton,1.9,0,0,0,45,1
Igor Thiago Nascimento Rodrigues,FWD,Brentford,0.0,0,0,0,60,1
Iliman Ndiaye,FWD,Everton,1.7,27,0,1,55,1
Illia Zabarnyi,DEF,Bournemouth,1.9,90,1,2,45,1
Isaac Hayden,MID,Newcastle,2.0,0,0,0,45,1
Ismaïla Sarr,MID,Crystal Palace,2.2,6,0,1,60,1
Issa Diop,DEF,Fulham,1.9,90,1,2,45,1
Ivan Toney,FWD,Brentford,2.4,0,0,0,75,1
Jack Grealish,MID,Man City,2.5,0,0,0,65,1
Jack Harrison,MID,Everton,2.0,84,1,2,55,1
Jack Hinshelwood,MID,Brighton,1.6,90,1,3,50,1
Jack Stephens,DEF,Southampton,0.0,90,1,1,40,1
Jack Taylor,MID,Ipswich,0.6,25,0,1,50,1
Jacob Greaves,DEF,Ipswich,0.0,90,1,1,40,1
Jacob Murphy,MID,Newcastle,3.0,29,1,1,55,1
Jacob Ramsey,MID,Aston Villa,2.0,28,0,4,55,1
Jaden Philogene,MID,Aston Villa,2.0,16,0,0,55,1
Jadon Sancho,MID,Man Utd,2.3,0,0,0,65,1
Jaidon Anthony,MID,Bournemouth,1.0,0,0,0,45,1
Jake O'Brien,DEF,Everton,2.4,0,0,0,50,1
Jakub Kiwior,DEF,Arsenal,3.4,0,0,0,50,1
Jakub Moder,MID,Brighton,1.0,0,0,0,45,1
Jakub Stolarczyk,GK,Leicester,0.0,0,0,0,40,1
Jamaal Lascelles,DEF,Newcastle,0.0,0,0,0,45,1
Jamal Lewis,DEF,Newcastle,2.0,0,0,0,40,1
James Bree,DEF,Southampton,0.0,0,0,0,40,1
James Garner,MID,Everton,0.0,0,0,0,50,1
James Hill,DEF,Bournemouth,1.0,0,0,0,40,1
James Justin,DEF,Leicester,1.4,90,1,2,45,1
James Maddison,MID,Spurs,3.1,78,1,5,75,1
James McAtee,MID,Man City,2.6,0,0,0,50,1
James McConnell,MID,Liverpool,2.0,0,0,0,45,1
James Milner,MID,Brighton,1.6,81,1,2,50,1
James Tarkowski,DEF,Everton,2.4,90,1,0,50,1
James Ward-Prowse,MID,West Ham,2.3,16,0,1,65,1
Jamie Vardy,FWD,Leicester,0.3,78,1,8,55,1
Jan Bednarek,DEF,Southampton,0.0,80,1,2,40,1
Jan Paul van Hecke,DEF,Brighton,1.9,90,1,6,45,1
Jannik Vestergaard,DEF,Leicester,0.5,90,1,2,40,1
Jarell Quansah,DEF,Liverpool,2.9,45,1,1,45,1
Jarrad Branthwaite,DEF,Everton,0.0,0,0,0,50,1
Jarrod Bowen,MID,West Ham,2.6,72,1,2,75,1
Jason Steele,GK,Brighton,2.2,90,1,7,45,1
Jay Stansfield,FWD,Fulham,1.4,1,0,1,50,1
Jean-Clair Todibo,DEF,West Ham,1.9,5,0,1,45,1
Jean-Philippe Mateta,FWD,Crystal Palace,2.4,45,1,1,75,1
Jean-Ricner Bellegarde,MID,Wolves,0.6,56,1,1,50,1
Jefferson Lerma Solís,MID,Crystal Palace,1.6,16,0,1,50,1
Jeffrey Schlupp,MID,Crystal Palace,1.6,0,0,0,50,1
Jenson Metcalfe,MID,Everton,1.0,0,0,0,45,1
Jeremy Sarmiento Morante,MID,Brighton,1.6,8,0,1,50,1
Jesper Lindstrøm,MID,Everton,2.0,0,0,0,55,1
Jesurun Rak-Sakyi,MID,Crystal Palace,1.0,0,0,0,45,1
Jhon Durán,FWD,Aston Villa,2.0,28,0,6,60,1
Joachim Andersen,DEF,Crystal Palace,1.9,90,1,0,45,1
Joe Aribo,MID,Southampton,0.6,69,1,2,50,1
Joe Gauci,GK,Aston Villa,1.0,0,0,0,40,1
Joe Gomez,DEF,Liverpool,3.4,0,0,0,50,1
Joe Hodge,MID,Wolves,0.0,0,0,0,45,1
Joe Lumley,GK,Southampton,0.0,0,0,0,40,1
Joe White,MID,Newcastle,2.0,0,0,0,45,1
Joe Willock,MID,Newcastle,2.6,0,0,0,50,1
Joe Worrall,DEF,Nott'm Forest,1.9,0,0,0,45,1
Joel Ward,DEF,Crystal Palace,1.9,0,0,0,45,1
Joelinton Cássio Apolinário de Lira,MID,Newcastle,3.2,90,1,11,60,1
John McGinn,MID,Aston Villa,2.0,61,1,2,55,1
John Ruddy,GK,Newcastle,2.0,0,0,0,40,1
John Stones,DEF,Man City,3.8,0,0,0,55,1
Jonathan Panzo,DEF,Nott'm Forest,0.0,0,0,0,40,1
Jonny Evans,DEF,Man Utd,1.9,9,0,1,45,1
Jordan Ayew,MID,Crystal Palace,2.0,20,0,0,55,1
Jordan Pickford,GK,Everton,3.1,90,1,1,50,1
Jorge Cuenca Barreno,DEF,Fulham,1.9,0,0,0,45,1
Jorge Luiz Frello Filho,MID,Arsenal,2.6,0,0,0,50,1
Josh Bowler,MID,Nott'm Forest,1.0,0,0,0,45,1
Josh Dasilva,MID,Brentford,0.0,0,0,0,50,1
Josh King,MID,Fulham,1.0,0,0,0,45,1
Joshua Zirkzee,FWD,Man Utd,2.2,29,0,8,70,1
José Malheiro de Sá,GK,Wolves,1.2,90,1,2,45,1
João Cavaco Cancelo,DEF,Man City,3.8,0,0,0,55,1
João Neves Virgínia,GK,Everton,1.0,0,0,0,40,1
João Pedro Ferreira Silva,MID,Nott'm Forest,2.2,0,0,0,60,1
João Pedro Junqueira de Jesus,FWD,Brighton,1.7,81,1,2,55,1
João Victor Gomes da Silva,MID,Wolves,0.6,83,1,1,50,1
Joël Veltman,DEF,Brighton,1.9,90,1,8,45,1
Joško Gvardiol,DEF,Man City,4.2,90,1,7,60,1
Juan Larios López,DEF,Southampton,0.0,0,0,0,40,1
Julio Enciso,MID,Brighton,0.5,0,0,0,55,1
Julián Araujo Zúñiga,DEF,Bournemouth,1.9,27,0,1,45,1
Julián Álvarez,FWD,Man City,0.0,0,0,0,70,1
Jurriën Timber,DEF,Arsenal,3.8,21,0,1,55,1
Justin Kluivert,MID,Bournemouth,2.0,26,0,0,55,1
Jérémy Doku,MID,Man City,3.3,90,1,3,65,1
Jørgen Strand Larsen,FWD,Wolves,0.7,83,1,2,55,1
Kacper Kozłowski,MID,Brighton,0.0,0,0,0,45,1
Kai Havertz,FWD,Arsenal,3.5,90,1,12,80,1
Kaine Kesler-Hayden,DEF,Aston Villa,0.0,0,0,0,40,1
Kalvin Phillips,MID,Ipswich,0.6,0,0,0,50,1
