name,position,team,xP,minutes,starts,total_points,value,gw
Morgan Gibbs-White,MID,Nott'm Forest,2.3,90,1,2,65,1
Noni Madueke,MID,Chelsea,1.3,0,0,0,65,1
Nélson Cabral Semedo,DEF,Wolves,0.0,0,0,0,45,1
Tommy Doyle,MID,Wolves,0.6,0,0,0,50,1
Tom Heaton,GK,Man Utd,1.0,0,0,0,40,1
Lucas Bergvall,MID,Spurs,1.5,12,0,1,45,1
Lesley Ugochukwu,MID,Chelsea,0.0,0,0,0,45,1
Evan Ferguson,FWD,Brighton,0.9,0,0,0,55,1
Christian Eriksen,MID,Man Utd,2.0,0,0,0,55,1
Danny Ings,FWD,West Ham,1.4,5,0,1,50,1
Jean-Ricner Bellegarde,MID,Wolves,0.6,56,1,1,50,1
Tim Ream,DEF,Fulham,0.0,0,0,0,45,1
Benoît Badiashile,DEF,Chelsea,0.9,0,0,0,45,1
Radu Drăgușin,DEF,Spurs,2.4,0,0,0,45,1
Jack Stephens,DEF,Southampton,0.0,90,1,1,40,1
Mateo Kovačić,MID,Man City,3.0,90,1,11,55,1
Nicolás Domínguez,MID,Nott'm Forest,1.6,36,0,1,50,1
Ben Doak,MID,Liverpool,2.0,0,0,0,45,1
Phil Foden,MID,Man City,4.2,45,0,1,95,1
Mason Mount,MID,Man Utd,2.3,60,1,2,65,1
Gabriel Martinelli Silva,MID,Arsenal,3.5,90,1,3,70,1
Yasin Ayari,MID,Brighton,1.6,1,0,1,50,1
Facundo Buonanotte,MID,Leicester,1.1,78,1,2,50,1
Caoimhin Kelleher,GK,Liverpool,3.2,0,0,0,45,1
Odeluga Offiah,DEF,Brighton,1.0,0,0,0,40,1
Lino da Cruz Sousa,DEF,Aston Villa,0.0,0,0,0,40,1
Amario Cozier-Duberry,MID,Brighton,1.0,0,0,0,45,1
Emerson Leite de Souza Junior,DEF,Spurs,0.0,0,0,0,45,1
Kai Havertz,FWD,Arsenal,3.5,90,1,12,80,1
Scott Carson,GK,Man City,2.0,0,0,0,40,1
Ethan Brierley,MID,Brentford,1.0,0,0,0,45,1
Andrey Nascimento dos Santos,MID,Chelsea,0.0,0,0,0,45,1
Rico Henry,DEF,Brentford,0.5,0,0,0,45,1
Mateusz Lis,GK,Southampton,0.0,0,0,0,40,1
Yoane Wissa,FWD,Brentford,2.0,83,1,11,60,1
Daniel Iversen,GK,Leicester,0.5,0,0,0,40,1
Mads Hermansen,GK,Leicester,1.7,90,1,3,45,1
Rob Holding,DEF,Crystal Palace,1.9,0,0,0,45,1
Ismaïla Sarr,MID,Crystal Palace,2.2,6,0,1,60,1
Jarrod Bowen,MID,West Ham,2.6,72,1,2,75,1
Mark O’Mahony,FWD,Brighton,1.0,0,0,0,45,1
Ryan Sessegnon,DEF,Fulham,1.9,0,0,0,45,1
Josh Dasilva,MID,Brentford,0.0,0,0,0,50,1
Jadon Sancho,MID,Man Utd,2.3,0,0,0,65,1
Sam Johnstone,GK,Crystal Palace,2.2,0,0,0,45,1
Jonny Evans,DEF,Man Utd,1.9,9,0,1,45,1
Mohamed Salah,MID,Liverpool,5.0,90,1,14,125,1
Timothy Castagne,DEF,Fulham,1.9,0,0,0,45,1
Tariq Lamptey,DEF,Brighton,1.0,0,0,0,45,1
Ola Aina,DEF,Nott'm Forest,1.9,53,1,1,45,1
Taiwo Awoniyi,FWD,Nott'm Forest,2.0,18,0,1,60,1
Leandro Trossard,MID,Arsenal,3.5,10,0,1,70,1
Jacob Greaves,DEF,Ipswich,0.0,90,1,1,40,1
Alfie Whiteman,GK,Spurs,1.5,0,0,0,40,1
Séamus Coleman,DEF,Everton,0.0,0,0,0,45,1
Fabian Schär,DEF,Newcastle,2.8,27,1,-2,55,1
Nicolas Jackson,FWD,Chelsea,1.4,65,1,2,75,1
Joe White,MID,Newcastle,2.0,0,0,0,45,1
Jamie Vardy,FWD,Leicester,0.3,78,1,8,55,1
Miguel Almirón Rejala,MID,Newcastle,3.2,0,0,0,60,1
James Garner,MID,Everton,0.0,0,0,0,50,1
Marcus Tavernier,MID,Bournemouth,2.0,90,1,2,55,1
Lewis Dobbin,MID,Aston Villa,0.0,0,0,0,50,1
Viljami Sinisalo,GK,Aston Villa,0.0,0,0,0,40,1
Omari Kellyman,MID,Chelsea,0.0,0,0,0,45,1
Daniel Castelo Podence,MID,Wolves,1.0,15,0,1,55,1
Martial Godo,MID,Fulham,1.0,0,0,0,45,1
Harrison Reed,MID,Fulham,1.6,1,0,1,50,1
Guido Rodríguez,MID,West Ham,1.6,84,1,2,50,1
Will Alves,MID,Leicester,0.5,0,0,0,45,1
Carlos Baleba,MID,Brighton,1.6,0,0,0,50,1
James Hill,DEF,Bournemouth,1.0,0,0,0,40,1
David Datro Fofana,FWD,Chelsea,0.7,0,0,0,55,1
Ryan Fraser,MID,Newcastle,2.6,0,0,0,50,1
Ângelo Gabriel Borges Damaceno,MID,Chelsea,0.0,0,0,0,45,1
Nathan Patterson,DEF,Everton,0.0,0,0,0,45,1
Robin Olsen,GK,Aston Villa,1.1,0,0,0,45,1
Mathias Jensen,MID,Brentford,2.0,83,1,2,55,1
Bart Verbruggen,GK,Brighton,0.6,0,0,0,45,1
Dango Ouattara,MID,Bournemouth,1.6,68,1,2,50,1
Emmanuel Dennis,FWD,Nott'm Forest,1.4,0,0,0,50,1
Yehor Yarmoliuk,MID,Brentford,1.0,0,0,0,45,1
Julián Álvarez,FWD,Man City,0.0,0,0,0,70,1
Tyler Dibling,MID,Southampton,0.0,20,0,1,45,1
Paul Onuachu,FWD,Southampton,0.4,0,0,0,50,1
Bobby Clark,MID,Liverpool,2.0,0,0,0,45,1
Kieran Tierney,DEF,Arsenal,0.0,0,0,0,45,1
Darwin Núñez Ribeiro,FWD,Liverpool,3.4,0,0,0,75,1
