name,position,team,xP,minutes,starts,total_points,value,gw
Jeffrey Schlupp,MID,Crystal Palace,1.3,1,0,1,49,4
Milos Kerkez,DEF,Bournemouth,1.5,90,1,2,45,4
Adrian Mazilu,MID,Brighton,0.0,0,0,0,45,4
Jason Steele,GK,Brighton,2.7,0,0,0,45,4
Arijanet Muric,GK,Ipswich,3.0,90,1,11,44,4
Carl Rushworth,GK,Brighton,0.0,0,0,0,40,4
Ibrahim Sangaré,MID,Nott'm Forest,0.4,0,0,0,45,4
Hannibal Mejbri,MID,Man Utd,0.0,0,0,0,45,4
Brandon Austin,GK,Spurs,-1.0,0,0,0,40,4
Conor Coady,DEF,Leicester,-0.5,7,0,0,40,4
Wes Foderingham,GK,West Ham,0.0,0,0,0,45,4
Armando Broja,FWD,Everton,0.0,0,0,0,55,4
Adam Webster,DEF,Brighton,0.7,0,0,0,45,4
Thomas Partey,MID,Arsenal,5.5,90,1,3,50,4
Harry Wilson,MID,Fulham,0.3,0,0,0,54,4
Kasey McAteer,MID,Leicester,0.3,0,0,0,49,4
Curtis Jones,MID,Liverpool,0.7,15,0,1,53,4
Wes Burns,MID,Ipswich,-0.3,58,1,1,49,4
Gustavo Nunes Fernandes Gomes,MID,Brentford,0.0,0,0,0,50,4
Yunus Emre Konak,MID,Brentford,-1.0,0,0,0,45,4
Max Kilman,DEF,West Ham,3.8,90,1,2,45,4
Deniz Undav,FWD,Brighton,0.0,0,0,0,55,4
Alex Murphy,DEF,Newcastle,0.5,0,0,0,40,4
George Edmundson,DEF,Ipswich,0.0,0,0,0,40,4
Sávio 'Savinho' Moreira de Oliveira,MID,Man City,2.8,90,1,1,65,4
Emerson Palmieri dos Santos,DEF,West Ham,2.0,56,1,1,45,4
Abdoulaye Doucouré,MID,Everton,1.0,0,0,0,53,4
José Malheiro de Sá,GK,Wolves,-0.3,0,0,0,45,4
Alexander Isak,FWD,Newcastle,4.7,45,1,1,85,4
Yves Bissouma,MID,Spurs,1.1,0,0,0,50,4
Conor Gallagher,MID,Chelsea,0.0,0,0,0,59,4
Philip Billing,MID,Bournemouth,0.5,15,0,1,48,4
Gonçalo Manuel Ganchinho Guedes,MID,Wolves,0.0,4,0,1,54,4
Brajan Gruda,MID,Brighton,0.2,0,0,0,54,4
Rodrigo 'Rodri' Hernandez,MID,Man City,1.2,45,0,1,64,4
Đorđe Petrović,GK,Chelsea,0.0,0,0,0,44,4
Justin Devenny,MID,Crystal Palace,0.5,0,0,0,45,4
Craig Dawson,DEF,Wolves,0.7,90,1,1,45,4
Jordan Ayew,MID,Leicester,0.5,82,1,1,54,4
Marcos Senesi,DEF,Bournemouth,0.8,90,1,1,49,4
Kiernan Dewsbury-Hall,MID,Chelsea,0.5,0,0,0,58,4
Kaine Kesler-Hayden,DEF,Aston Villa,0.0,0,0,0,40,4
João Cavaco Cancelo,DEF,Man City,0.0,0,0,0,53,4
Maxwel Cornet,MID,Southampton,-0.5,26,0,0,49,4
Jefferson Lerma Solís,MID,Crystal Palace,1.3,0,0,0,49,4
Jannik Vestergaard,DEF,Leicester,0.0,0,0,0,40,4
Luke Thomas,DEF,Leicester,-0.5,0,0,0,40,4
Bruno Borges Fernandes,MID,Man Utd,3.5,90,1,5,84,4
Adam Smith,DEF,Bournemouth,2.2,74,1,5,45,4
Miodrag Pivaš,DEF,Newcastle,0.0,0,0,0,40,4
Billy Gilmour,MID,Brighton,0.0,0,0,0,50,4
Rasmus Højlund,FWD,Man Utd,0.0,0,0,0,69,4
Callum Wilson,FWD,Newcastle,0.0,0,0,0,69,4
Crysencio Summerville,MID,West Ham,0.8,45,0,1,58,4
Jesurun Rak-Sakyi,MID,Crystal Palace,0.0,0,0,0,45,4
Oliver Skipp,MID,Leicester,0.5,90,1,2,49,4
Tomáš Souček,MID,West Ham,3.8,45,1,1,50,4
Taylor Harwood-Bellis,DEF,Southampton,0.5,9,0,1,40,4
Alphonse Areola,GK,West Ham,2.8,90,1,3,45,4
Lisandro Martínez,DEF,Man Utd,2.8,76,1,6,45,4
Richarlison de Andrade,FWD,Spurs,0.0,0,0,0,69,4
Joško Gvardiol,DEF,Man City,4.0,45,0,1,60,4
Harry Clarke,DEF,Ipswich,-0.1,0,0,0,40,4
Joachim Andersen,DEF,Fulham,0.5,90,1,2,44,4
Moisés Caicedo Corozo,MID,Chelsea,2.0,90,1,3,50,4
Carlos Henrique Casimiro,MID,Man Utd,1.8,3,0,1,50,4
Roman Dixon,DEF,Everton,0.0,0,0,0,40,4
Jhon Durán,FWD,Aston Villa,5.0,21,0,6,60,4
Jacob Murphy,MID,Newcastle,2.3,90,1,1,53,4
Sean Longstaff,MID,Newcastle,2.3,45,1,1,49,4
Leander Dendoncker,MID,Aston Villa,0.0,0,0,0,45,4
Trevoh Chalobah,DEF,Crystal Palace,0.0,0,0,0,44,4
Ryan Manning,DEF,Southampton,-0.5,0,0,0,44,4
Vitalii Mykolenko,DEF,Everton,0.8,25,1,1,44,4
Ryan Christie,MID,Bournemouth,1.8,67,1,2,49,4
Fábio Silva,FWD,Wolves,0.0,0,0,0,50,4
Kepa Arrizabalaga,GK,Bournemouth,0.0,0,0,0,45,4
Frank Onyeka,MID,Brentford,0.0,0,0,0,49,4
Youssef Ramalho Chermiti,FWD,Everton,0.0,0,0,0,50,4
Morgan Gibbs-White,MID,Nott'm Forest,3.5,80,1,3,65,4
Noni Madueke,MID,Chelsea,6.2,60,1,3,66,4
Nélson Cabral Semedo,DEF,Wolves,0.3,76,1,1,45,4
Tommy Doyle,MID,Wolves,0.3,13,0,1,49,4
Tom Heaton,GK,Man Utd,0.5,0,0,0,40,4
Lucas Bergvall,MID,Spurs,-0.2,0,0,0,45,4
Lesley Ugochukwu,MID,Southampton,0.0,63,1,2,45,4
Evan Ferguson,FWD,Brighton,0.7,5,0,1,55,4
Christian Eriksen,MID,Man Utd,1.5,72,1,2,54,4
Danny Ings,FWD,West Ham,2.2,8,0,8,50,4
Jean-Ricner Bellegarde,MID,Wolves,2.5,70,1,3,50,4
Tim Ream,DEF,Fulham,0.0,0,0,0,45,4
Benoît Badiashile,DEF,Chelsea,0.0,0,0,0,44,4
Radu Drăgușin,DEF,Spurs,-0.8,0,0,0,44,4
Jack Stephens,DEF,Southampton,0.0,78,1,-2,40,4
Mateo Kovačić,MID,Man City,4.5,45,1,0,55,4
Nicolás Domínguez,MID,Nott'm Forest,0.0,53,1,1,49,4
Ben Doak,MID,Liverpool,0.0,0,0,0,45,4
Phil Foden,MID,Man City,1.2,0,0,0,93,4
Mason Mount,MID,Man Utd,0.0,0,0,0,64,4
Gabriel Martinelli Silva,MID,Arsenal,3.5,79,1,3,69,4
Yasin Ayari,MID,Brighton,2.3,90,1,3,50,4
Mikel Merino,MID,Arsenal,0.0,0,0,0,60,4
Facundo Buonanotte,MID,Leicester,2.7,0,0,0,50,4
Caoimhin Kelleher,GK,Liverpool,0.5,0,0,0,44,4
Odeluga Offiah,DEF,Brighton,0.0,0,0,0,40,4
Lino da Cruz Sousa,DEF,Aston Villa,0.0,0,0,0,40,4
Amario Cozier-Duberry,MID,Brighton,0.0,0,0,0,45,4
Emerson Leite de Souza Junior,DEF,Spurs,0.0,0,0,0,45,4
Kai Havertz,FWD,Arsenal,7.0,90,1,2,81,4
Scott Carson,GK,Man City,1.0,0,0,0,40,4
Ethan Brierley,MID,Brentford,-1.0,0,0,0,45,4
Andrey Nascimento dos Santos,MID,Chelsea,0.0,0,0,0,45,4
Rico Henry,DEF,Brentford,0.0,0,0,0,44,4
Mateusz Lis,GK,Southampton,0.0,0,0,0,40,4
Yoane Wissa,FWD,Brentford,6.0,45,1,7,61,4
Daniel Iversen,GK,Leicester,-0.5,0,0,0,40,4
Mads Hermansen,GK,Leicester,1.5,90,1,1,45,4
Rob Holding,DEF,Crystal Palace,0.5,0,0,0,44,4
Ismaïla Sarr,MID,Crystal Palace,2.3,9,0,4,59,4
Jarrod Bowen,MID,West Ham,5.0,90,1,5,75,4
Mark O’Mahony,FWD,Brighton,0.0,0,0,0,45,4
Ryan Sessegnon,DEF,Fulham,0.0,0,0,0,44,4
Josh Dasilva,MID,Brentford,0.0,0,0,0,49,4
Jadon Sancho,MID,Chelsea,1.0,45,0,3,63,4
Sam Johnstone,GK,Wolves,0.7,90,1,2,44,4
Jonny Evans,DEF,Man Utd,0.8,13,0,1,44,4
Mohamed Salah,MID,Liverpool,11.3,90,1,2,127,4
Federico Chiesa,MID,Liverpool,0.5,0,0,0,70,4
Timothy Castagne,DEF,Fulham,0.0,0,0,0,44,4
Tariq Lamptey,DEF,Brighton,0.5,0,0,0,45,4
Ola Aina,DEF,Nott'm Forest,4.5,90,1,8,44,4
Taiwo Awoniyi,FWD,Nott'm Forest,0.3,0,0,0,58,4
Leandro Trossard,MID,Arsenal,4.0,79,1,3,69,4
Jacob Greaves,DEF,Ipswich,1.7,90,1,6,40,4
Issa Kaboré,DEF,Man City,0.0,0,0,0,45,4
Alfie Whiteman,GK,Spurs,-1.0,0,0,0,40,4
Séamus Coleman,DEF,Everton,0.1,0,0,0,44,4
Fabian Schär,DEF,Newcastle,2.0,90,1,8,54,4
Nicolas Jackson,FWD,Chelsea,4.8,78,1,1,76,4
Joe White,MID,Newcastle,0.0,0,0,0,45,4
Jamie Vardy,FWD,Leicester,4.3,90,1,8,56,4
Miguel Almirón Rejala,MID,Newcastle,1.0,0,0,0,58,4
James Garner,MID,Everton,0.5,64,0,2,50,4
Marcus Tavernier,MID,Bournemouth,4.0,82,1,3,55,4
Lewis Dobbin,MID,Aston Villa,0.0,0,0,0,50,4
Viljami Sinisalo,GK,Aston Villa,0.0,0,0,0,40,4
Omari Kellyman,MID,Chelsea,0.0,0,0,0,45,4
Daniel Castelo Podence,MID,Wolves,0.0,0,0,0,55,4
Martial Godo,MID,Fulham,0.0,0,0,0,45,4
Harrison Reed,MID,Fulham,1.0,4,0,1,49,4
Guido Rodríguez,MID,West Ham,1.8,69,1,1,50,4
Will Alves,MID,Leicester,-0.5,0,0,0,45,4
Carlos Baleba,MID,Brighton,2.0,90,1,3,50,4
James Hill,DEF,Bournemouth,0.0,0,0,0,40,4
David Datro Fofana,FWD,Chelsea,0.0,0,0,0,54,4
Ryan Fraser,MID,Southampton,-0.3,26,0,1,49,4
Ângelo Gabriel Borges Damaceno,MID,Chelsea,0.0,0,0,0,45,4
Nathan Patterson,DEF,Everton,0.0,0,0,0,44,4
Robin Olsen,GK,Aston Villa,0.0,0,0,0,45,4
Mathias Jensen,MID,Brentford,0.0,0,0,0,55,4
Bart Verbruggen,GK,Brighton,2.7,90,1,5,45,4
Dango Ouattara,MID,Bournemouth,0.0,0,0,0,50,4
Emmanuel Dennis,FWD,Nott'm Forest,-0.5,0,0,0,49,4
Yehor Yarmoliuk,MID,Brentford,-0.8,6,0,1,45,4
Julián Álvarez,FWD,Man City,0.0,0,0,0,70,4
Tyler Dibling,MID,Southampton,0.7,62,1,2,45,4
Paul Onuachu,FWD,Southampton,-0.5,0,0,0,50,4
Bobby Clark,MID,Liverpool,0.0,0,0,0,45,4
Kieran Tierney,DEF,Arsenal,0.0,0,0,0,44,4
Orel Mangala,MID,Everton,1.6,26,0,1,50,4
Darwin Núñez Ribeiro,FWD,Liverpool,1.3,30,0,1,72,4
Josh Bowler,MID,Nott'm Forest,0.0,0,0,0,45,4
Sugawara Yukinari,DEF,Southampton,2.3,90,1,1,45,4
Aaron Wan-Bissaka,DEF,West Ham,1.0,90,1,2,45,4
Bobby De Cordova-Reid,MID,Leicester,0.7,0,0,0,54,4
Manuel Ugarte,MID,Man Utd,2.1,17,0,1,50,4
Nathan Broadhead,MID,Ipswich,-0.2,0,0,0,49,4
Matheus Luiz Nunes,MID,Man City,2.5,1,0,1,49,4
Jake O'Brien,DEF,Everton,0.0,26,0,0,49,4
Cameron Peupion,MID,Brighton,0.5,0,0,0,45,4
Felipe Rodrigues da Silva,DEF,Nott'm Forest,1.5,9,0,1,45,4
Kosta Nedeljković,DEF,Aston Villa,0.8,0,0,0,40,4
Jay Stansfield,FWD,Fulham,0.0,0,0,0,50,4
Nikola Milenković,DEF,Nott'm Forest,3.0,90,1,6,45,4
Sepp van den Berg,DEF,Brentford,-0.5,90,1,1,40,4
Kevin Mbabu,DEF,Fulham,0.0,0,0,0,40,4
Malang Sarr,DEF,Chelsea,0.0,0,0,0,45,4
Jarrad Branthwaite,DEF,Everton,0.0,0,0,0,49,4
Ferdi Kadioglu,DEF,Brighton,1.0,23,0,1,45,4
Mats Wieffer,MID,Brighton,1.5,0,0,0,50,4
Kyle Walker,DEF,Man City,1.8,90,1,2,54,4
Shea Charles,MID,Southampton,0.0,0,0,0,45,4
Samuel Edozie,MID,Southampton,0.0,0,0,0,49,4
Robert Sánchez,GK,Chelsea,5.0,90,1,15,45,4
Sergio Reguilón,DEF,Spurs,-1.0,0,0,0,44,4
Asmir Begovic,GK,Everton,0.0,0,0,0,40,4
Conor Townsend,DEF,Ipswich,-0.5,0,0,0,40,4
Ricardo Barbosa Pereira,DEF,Leicester,-0.5,0,0,0,44,4
Massimo Luongo,MID,Ipswich,0.7,6,0,1,45,4
Harvey Elliott,MID,Liverpool,0.0,0,0,0,53,4
Garang Kuol,MID,Newcastle,0.5,0,0,0,45,4
Rúben Gato Alves Dias,DEF,Man City,3.0,6,0,1,55,4
Romelu Lukaku Bolingoli,FWD,Chelsea,0.0,0,0,0,63,4
Ben Chilwell,DEF,Chelsea,0.0,0,0,0,49,4
George Hirst,FWD,Ipswich,-0.3,31,0,1,54,4
Daniel Jebbison,FWD,Bournemouth,0.0,0,0,0,45,4
Tyrick Mitchell,DEF,Crystal Palace,2.5,88,1,4,49,4
Myles Peart-Harris,MID,Brentford,0.0,0,0,0,45,4
Mahmoud Dahoud,MID,Brighton,0.0,0,0,0,49,4
Jonathan Panzo,DEF,Nott'm Forest,0.0,0,0,0,40,4
Nico O'Reilly,MID,Man City,1.0,0,0,0,50,4
Aaron Ramsdale,GK,Southampton,0.7,90,1,3,44,4
Moussa Diaby,MID,Aston Villa,0.0,0,0,0,65,4
Micky van de Ven,DEF,Spurs,2.0,90,1,1,45,4
Igor Thiago Nascimento Rodrigues,FWD,Brentford,0.0,0,0,0,59,4
Kaden Rodney,MID,Crystal Palace,0.5,0,0,0,45,4
Callum Hudson-Odoi,MID,Nott'm Forest,3.3,36,0,7,54,4
Armel Bella-Kotchap,DEF,Southampton,-0.5,0,0,0,40,4
Rodrigo Martins Gomes,MID,Wolves,0.3,0,0,0,54,4
Lamare Bogarde,DEF,Aston Villa,0.5,90,1,1,40,4
Noussair Mazraoui,DEF,Man Utd,4.2,73,1,6,45,4
Cameron Archer,FWD,Southampton,0.3,61,1,0,50,4
Ezri Konsa Ngoyo,DEF,Aston Villa,1.5,90,1,1,45,4
Pedro Porro,DEF,Spurs,3.5,90,1,2,55,4
Alfie Devine,MID,Spurs,0.0,0,0,0,45,4
Elkan Baggott,DEF,Ipswich,0.0,0,0,0,40,4
Erling Haaland,FWD,Man City,10.9,90,1,13,152,4
Leif Davis,DEF,Ipswich,3.0,90,1,6,45,4
Virgil van Dijk,DEF,Liverpool,5.5,90,1,2,60,4
Bilal El Khannouss,MID,Leicester,0.0,0,0,0,50,4
Konstantinos Mavropanos,DEF,West Ham,3.0,90,1,2,45,4
Matt Turner,GK,Crystal Palace,0.5,0,0,0,40,4
Juan Larios López,DEF,Southampton,-0.5,0,0,0,40,4
Harry Toffolo,DEF,Nott'm Forest,-0.3,0,0,0,44,4
Toby Collyer,MID,Man Utd,0.8,0,0,0,45,4
Asher Agbinone,MID,Crystal Palace,0.5,0,0,0,45,4
Kadan Young,MID,Aston Villa,1.1,0,0,0,45,4
Caleb Wiley,DEF,Chelsea,0.0,0,0,0,40,4
Ethan Pinnock,DEF,Brentford,-0.2,90,1,1,45,4
William Saliba,DEF,Arsenal,5.8,90,1,5,60,4
Altay Bayindir,GK,Man Utd,0.5,0,0,0,44,4
Rodrigo Bentancur,MID,Spurs,-0.5,67,1,1,50,4
Dominic Solanke-Mitchell,FWD,Spurs,0.0,90,1,2,75,4
Chris Richards,DEF,Crystal Palace,1.3,0,0,0,45,4
Rayan Aït-Nouri,DEF,Wolves,0.4,85,1,0,45,4
James Justin,DEF,Leicester,0.7,90,1,1,45,4
Joshua Zirkzee,FWD,Man Utd,1.8,90,1,2,70,4
Martin Ødegaard,MID,Arsenal,1.4,0,0,0,83,4
Cesare Casadei,MID,Chelsea,0.0,0,0,0,45,4
Jaden Philogene,MID,Aston Villa,0.2,1,0,1,54,4
Mario Lemina,MID,Wolves,3.2,90,1,10,50,4
Adam Wharton,MID,Crystal Palace,2.5,90,1,2,49,4
Luis Sinisterra,MID,Bournemouth,3.8,22,0,1,50,4
Michael Keane,DEF,Everton,2.0,90,1,1,40,4
Omar Richards,DEF,Nott'm Forest,0.0,0,0,0,45,4
Álex Moreno Lopera,DEF,Nott'm Forest,1.0,79,1,6,44,4
Stephy Mavididi,MID,Leicester,2.0,71,1,7,53,4
Anthony Gordon,MID,Newcastle,4.7,90,1,2,74,4
Diego Carlos Santos Silva,DEF,Aston Villa,0.0,0,0,0,45,4
Facundo Pellistri Rebollo,MID,Man Utd,0.0,0,0,0,50,4
Trent Alexander-Arnold,DEF,Liverpool,5.7,90,1,1,70,4
Josh King,MID,Fulham,0.0,0,0,0,45,4
Matt O'Riley,MID,Brighton,0.0,0,0,0,55,4
Wanya Marçal-Madivádua,MID,Leicester,0.0,0,0,0,45,4
Jamal Lewis,DEF,Newcastle,0.0,0,0,0,40,4
Jørgen Strand Larsen,FWD,Wolves,3.3,85,1,5,55,4
Jack Harrison,MID,Everton,1.8,63,1,2,54,4
Riccardo Calafiori,DEF,Arsenal,0.8,0,0,0,58,4
Luke Cundle,MID,Wolves,-0.5,0,0,0,45,4
Jan Bednarek,DEF,Southampton,0.7,90,1,1,40,4
André Onana,GK,Man Utd,5.5,90,1,13,50,4
Odsonne Edouard,FWD,Leicester,0.0,0,0,0,54,4
Deivid Washington de Souza Eugênio,FWD,Chelsea,0.0,0,0,0,50,4
Lewis O'Brien,MID,Nott'm Forest,0.0,0,0,0,50,4
Bukayo Saka,MID,Arsenal,8.8,85,1,7,101,4
Alex Mighten,MID,Nott'm Forest,0.0,0,0,0,45,4
Djed Spence,DEF,Spurs,-0.5,0,0,0,44,4
Hamza Choudhury,MID,Leicester,-0.3,14,0,1,45,4
Wesley Fofana,DEF,Chelsea,2.5,90,1,7,45,4
Lucas Digne,DEF,Aston Villa,3.8,68,1,4,46,4
Joe Aribo,MID,Southampton,1.0,0,0,0,50,4
Fábio Ferreira Vieira,MID,Arsenal,0.0,0,0,0,54,4
Guglielmo Vicario,GK,Spurs,1.8,90,1,2,50,4
Nathan Fraser,FWD,Wolves,0.0,0,0,0,45,4
Christian Walton,GK,Ipswich,0.0,0,0,0,45,4
Matthijs de Ligt,DEF,Man Utd,5.8,86,1,15,50,4
Jack Hinshelwood,MID,Brighton,2.7,66,1,2,50,4
Antoine Semenyo,MID,Bournemouth,5.0,90,1,1,56,4
Will Dennis,GK,Bournemouth,0.0,0,0,0,40,4
Omari Giraud-Hutchinson,MID,Ipswich,1.3,84,1,2,54,4
Dane Scarlett,FWD,Spurs,0.0,0,0,0,45,4
Joe Lumley,GK,Southampton,-0.5,0,0,0,40,4
Dwight McNeil,MID,Everton,5.5,90,1,12,54,4
Kim Ji-soo,DEF,Brentford,-1.0,0,0,0,40,4
Franco Umeh-Chibueze,MID,Crystal Palace,0.5,0,0,0,45,4
Andy Irving,MID,West Ham,0.0,0,0,0,49,4
Karl Hein,GK,Arsenal,0.0,0,0,0,40,4
Nathaniel Clyne,DEF,Crystal Palace,1.3,63,1,1,44,4
Saša Lukić,MID,Fulham,1.7,65,1,2,50,4
Kevin De Bruyne,MID,Man City,5.5,90,1,2,96,4
Norberto Murara Neto,GK,Arsenal,2.8,0,0,0,44,4
Tyrell Malacia,DEF,Man Utd,0.0,0,0,0,44,4
Lucas Tolentino Coelho de Lima,MID,West Ham,3.0,45,0,1,60,4
Lewis Dunk,DEF,Brighton,4.5,90,1,6,45,4
Mason Holgate,DEF,Everton,0.0,0,0,0,40,4
Kurt Zouma,DEF,West Ham,0.0,0,0,0,44,4
Sékou Mara,FWD,Southampton,0.0,0,0,0,50,4
Antony Matheus dos Santos,MID,Man Utd,0.8,0,0,0,58,4
Dara O'Shea,DEF,Ipswich,3.0,90,1,7,40,4
Kalvin Phillips,MID,Ipswich,0.5,90,1,2,50,4
Ibrahima Konaté,DEF,Liverpool,4.5,74,1,2,50,4
Chadi Riad Dnanou,DEF,Crystal Palace,0.0,0,0,0,44,4
Freddie Ladapo,FWD,Ipswich,0.0,0,0,0,45,4
Levi Colwill,DEF,Chelsea,2.2,90,1,5,45,4
Nick Pope,GK,Newcastle,5.3,90,1,3,50,4
Jorge Luiz Frello Filho,MID,Arsenal,1.5,90,1,2,49,4
Oliwier Zych,GK,Aston Villa,0.0,0,0,0,40,4
Luke Woolfenden,DEF,Ipswich,0.0,0,0,0,40,4
Łukasz Fabiański,GK,West Ham,0.2,0,0,0,40,4
Idrissa Gueye,MID,Everton,2.0,63,1,2,49,4
Joe Gomez,DEF,Liverpool,0.5,0,0,0,49,4
Dominic Calvert-Lewin,FWD,Everton,5.5,90,1,6,59,4
Yerson Mosquera,DEF,Wolves,0.0,90,1,1,40,4
Sil Swinkels,DEF,Aston Villa,0.0,0,0,0,40,4
Konstantinos Tsimikas,DEF,Liverpool,1.3,15,0,1,48,4
Christian Nørgaard,MID,Brentford,0.8,90,1,2,50,4
Emiliano Martínez Romero,GK,Aston Villa,1.5,90,1,0,50,4
Declan Rice,MID,Arsenal,0.0,0,0,0,63,4
Dejan Kulusevski,MID,Spurs,1.5,90,1,1,64,4
Pascal Groß,MID,Brighton,0.0,0,0,0,65,4
Gabriel dos Santos Magalhães,DEF,Arsenal,8.2,90,1,15,60,4
Cody Gakpo,FWD,Liverpool,1.3,29,0,1,72,4
Salah-Eddine Oulad M'hand,MID,Arsenal,1.0,0,0,0,45,4
Mohammed Kudus,MID,West Ham,2.2,90,1,2,64,4
Benicio Baker-Boaitey,MID,Brighton,0.0,0,0,0,45,4
Vitaly Janelt,MID,Brentford,1.2,71,1,2,49,4
Adama Traoré,MID,Fulham,5.3,90,1,2,50,4
Jens Cajuste,MID,Ipswich,-0.2,0,0,0,45,4
Tommy Setford,GK,Arsenal,1.0,0,0,0,45,4
Alexis Mac Allister,MID,Liverpool,3.0,59,1,1,64,4
Endo Wataru,MID,Liverpool,0.7,0,0,0,49,4
João Pedro Ferreira Silva,MID,Nott'm Forest,0.3,9,0,1,60,4
Ashley Phillips,DEF,Spurs,0.0,0,0,0,40,4
Keane Lewis-Potter,MID,Brentford,0.5,90,1,2,50,4
Ben Johnson,DEF,Ipswich,0.3,0,0,0,40,4
Michael Golding,MID,Leicester,-0.5,0,0,0,45,4
João Félix Sequeira,MID,Chelsea,2.3,29,0,0,65,4
Remi Matthews,GK,Crystal Palace,0.5,0,0,0,40,4
Alfie Gilchrist,DEF,Chelsea,0.0,0,0,0,40,4
Nayef Aguerd,DEF,West Ham,0.0,0,0,0,44,4
Emile Smith Rowe,MID,Fulham,6.3,72,1,7,56,4
Enes Ünal,FWD,Bournemouth,0.2,7,0,1,54,4
Lucas Bergström,GK,Chelsea,0.0,0,0,0,40,4
Kacper Kozłowski,MID,Brighton,0.0,0,0,0,45,4
Francisco Evanilson de Lima Barbosa,FWD,Bournemouth,1.3,67,1,0,60,4
Axel Tuanzebe,DEF,Ipswich,1.7,90,1,6,40,4
Gabriel Fernando de Jesus,FWD,Arsenal,1.2,10,0,1,68,4
Iliman Ndiaye,FWD,Everton,1.2,80,1,1,54,4
David Raya Martin,GK,Arsenal,8.2,90,1,9,55,4
Enso González,MID,Wolves,0.0,0,0,0,45,4
Archie Gray,MID,Spurs,-0.5,0,0,0,49,4
Christopher Nkunku,MID,Chelsea,2.5,11,0,7,62,4
Manuel Akanji,DEF,Man City,3.8,90,1,2,55,4
Kaelan Casey,DEF,West Ham,0.0,0,0,0,40,4
Ryan Gravenberch,MID,Liverpool,2.7,90,1,1,50,4
Joe Willock,MID,Newcastle,0.8,45,0,4,49,4
Mark Flekken,GK,Brentford,2.0,90,1,2,45,4
Lewis Cook,MID,Bournemouth,2.8,90,1,1,50,4
Alex Iwobi,MID,Fulham,4.3,65,1,3,55,4
Ethan Nwaneri,MID,Arsenal,1.2,4,0,1,45,4
Ross Stewart,FWD,Southampton,-0.2,28,0,1,45,4
Matt Doherty,DEF,Wolves,0.0,13,0,1,45,4
Alejo Véliz,FWD,Spurs,0.0,0,0,0,50,4
Ilkay Gündogan,MID,Man City,2.3,90,1,2,65,4
Isaac Hayden,MID,Newcastle,0.5,0,0,0,45,4
Wilson Odobert,MID,Spurs,0.5,22,0,1,55,4
Conor Bradley,DEF,Liverpool,1.5,30,0,1,49,4
Tom Cairney,MID,Fulham,0.7,17,0,1,49,4
Jarell Quansah,DEF,Liverpool,0.7,0,0,0,42,4
Jacob Ramsey,MID,Aston Villa,2.2,68,1,2,55,4
Emiliano Buendía Stati,MID,Aston Villa,0.2,6,0,1,54,4
James McAtee,MID,Man City,1.2,0,0,0,49,4
Andrew Robertson,DEF,Liverpool,5.3,74,1,1,60,4
Luke Harris,MID,Fulham,0.0,0,0,0,45,4
Youri Tielemans,MID,Aston Villa,3.0,90,1,2,55,4
João Neves Virgínia,GK,Everton,0.0,0,0,0,40,4
Oleksandr Zinchenko,DEF,Arsenal,2.8,0,0,0,49,4
Francisco Jorge Tomás Oliveira,MID,Wolves,0.0,0,0,0,45,4
Ederson Santana de Moraes,GK,Man City,5.8,90,1,7,55,4
Andrew Omobamidele,DEF,Nott'm Forest,-0.5,0,0,0,44,4
Norberto Bercique Gomes Betuncal,FWD,Everton,1.0,9,0,1,50,4
Diogo Dalot Teixeira,DEF,Man Utd,4.8,90,1,11,50,4
Pape Matar Sarr,MID,Spurs,0.0,22,0,1,49,4
Danny Welbeck,FWD,Brighton,6.7,84,1,2,57,4
Yankuba Minteh,MID,Brighton,3.5,67,1,2,55,4
Nathan Aké,DEF,Man City,0.0,0,0,0,54,4
Bernd Leno,GK,Fulham,2.7,90,1,2,50,4
Jamaal Lascelles,DEF,Newcastle,0.0,0,0,0,45,4
Axel Disasi,DEF,Chelsea,1.5,61,1,6,44,4
Ismeal Kabia,MID,Arsenal,2.1,0,0,0,45,4
Kevin Schade,MID,Brentford,1.5,45,0,1,55,4
Victor Kristiansen,DEF,Leicester,0.5,90,1,1,45,4
Kyle Walker-Peters,DEF,Southampton,1.0,90,1,1,45,4
Daniel Bentley,GK,Wolves,-0.5,0,0,0,40,4
Ivan Toney,FWD,Brentford,0.0,0,0,0,73,4
Carlos Soler,MID,West Ham,1.6,20,0,0,50,4
Antonee Robinson,DEF,Fulham,4.3,90,1,2,46,4
Romain Faivre,MID,Bournemouth,0.0,0,0,0,50,4
James Ward-Prowse,MID,Nott'm Forest,0.5,90,1,3,63,4
Patson Daka,FWD,Leicester,0.0,0,0,0,49,4
Illia Zabarnyi,DEF,Bournemouth,1.8,90,1,2,45,4
Gavin Bazunu,GK,Southampton,0.0,0,0,0,44,4
Sven Botman,DEF,Newcastle,0.0,0,0,0,45,4
Hugo Bueno López,DEF,Wolves,0.0,0,0,0,45,4
Danny Ward,GK,Leicester,-0.5,0,0,0,40,4
Samuel Amo-Ameyaw,MID,Southampton,-0.3,0,0,0,45,4
Joe Gauci,GK,Aston Villa,0.0,0,0,0,40,4
João Pedro Junqueira de Jesus,FWD,Brighton,5.0,0,0,0,57,4
Justin Kluivert,MID,Bournemouth,2.5,74,1,2,54,4
Martin Dúbravka,GK,Newcastle,0.5,0,0,0,43,4
