player_name,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,event_points,ep_next,ep_this,gw
Adam Armstrong,a,,,5.1,1,1.0,1.0,22
Gavin Bazunu,a,100.0,75.0,4.3,0,-1.0,-0.8,22
James Bree,a,100.0,100.0,3.9,1,0.0,0.0,22
Shea Charles,u,0.0,0.0,4.5,0,0.0,0.0,22
Samuel Edozie,u,0.0,0.0,4.9,0,0.0,0.0,22
Ronnie Edwards,u,0.0,0.0,3.9,0,0.0,0.0,22
Taylor Harwood-Bellis,a,100.0,100.0,4.1,1,-0.4,-0.4,22
Kamaldeen Sulemana,i,0.0,100.0,5.0,1,0.0,0.2,22
Adam Lallana,a,100.0,100.0,5.0,0,-0.4,-0.4,22
Adam Webster,a,100.0,100.0,4.3,2,4.7,4.2,27
Danny Welbeck,a,100.0,50.0,5.5,7,5.0,2.2,27
Brajan Gruda,a,100.0,100.0,5.4,0,1.3,0.8,27
Yasin Ayari,a,100.0,100.0,5.0,1,1.7,1.2,27
Jacob Slater,a,,,4.0,0,0.0,-0.5,27
Diego Gómez,a,100.0,100.0,5.5,2,1.3,0.8,27
Levi Colwill,a,100.0,100.0,4.4,14,5.8,6.3,27
Marc Cucurella Saseta,a,100.0,100.0,5.2,15,6.2,6.7,27
Malo Gusto,d,75.0,100.0,4.9,6,2.4,3.7,27
Reece James,a,100.0,100.0,4.8,0,1.2,1.7,27
Roméo Lavia,d,25.0,0.0,4.5,0,0.1,0.0,27
Marc Guiu Paz,i,0.0,0.0,4.7,0,0.0,0.0,27
Mykhailo Mudryk,s,0.0,0.0,6.1,0,0.0,0.0,27
Nicolas Jackson,i,0.0,0.0,7.7,0,0.0,0.0,27
Pedro Lomba Neto,a,100.0,100.0,6.3,11,6.5,7.0,27
João Félix Sequeira,u,0.0,0.0,5.9,0,0.0,0.0,27
Ben Mee,a,100.0,100.0,4.2,0,0.3,0.3,25
Sil Swinkels,a,,,4.0,0,-0.5,0.0,21
Tyrique George,a,,,4.5,4,2.2,2.7,27
Enzo Maresca,a,,,1.5,12,4.8,5.3,27
Shumaira Mheuka,a,,,4.5,1,1.0,1.5,27
Eddie Nketiah,a,100.0,100.0,5.9,6,2.3,2.3,27
Justin Devenny,a,,,4.5,1,0.6,0.6,22
Asher Agbinone,u,0.0,100.0,4.5,0,0.0,0.0,22
Kaden Rodney,a,,,4.5,0,0.0,0.0,22
Liam Delap,a,100.0,100.0,5.6,2,3.8,4.3,22
George Edmundson,u,0.0,0.0,4.0,0,0.0,0.0,22
Jacob Greaves,a,100.0,100.0,3.9,0,1.0,1.5,22
Marcus Myers-Harness,u,0.0,0.0,4.9,0,0.0,0.0,22
George Hirst,a,100.0,100.0,5.4,1,-0.6,-0.1,22
Cameron Humphreys,u,0.0,0.0,4.5,0,0.0,0.0,22
Omari Giraud-Hutchinson,a,100.0,100.0,5.2,2,2.0,2.5,22
Sam Morsy,a,100.0,100.0,4.9,2,0.2,0.7,22
Ben Chilwell,a,100.0,100.0,4.6,0,0.7,0.7,27
Naouirou Ahamada,u,0.0,0.0,4.5,0,0.0,0.0,27
Cheick Doucouré,i,0.0,0.0,4.9,0,0.0,0.0,27
Marc Guéhi,a,100.0,100.0,4.7,2,3.7,3.7,27
Dean Henderson,a,100.0,100.0,4.6,2,3.3,3.3,27
Jeffrey Schlupp,u,0.0,0.0,4.6,0,0.0,0.0,27
Adam Wharton,a,100.0,100.0,4.7,2,1.3,1.3,27
Matt Turner,a,100.0,100.0,3.9,0,0.0,0.0,27
Miodrag Pivaš,u,0.0,0.0,4.0,0,0.0,0.0,35
Christian Nørgaard,a,100.0,100.0,4.8,3,2.0,2.0,25
Fábio Freitas Gouveia Carvalho,a,100.0,100.0,4.5,1,0.7,0.7,25
Ismaïla Sarr,a,100.0,100.0,5.5,15,6.7,6.7,27
Ben Winterburn,a,,,4.5,0,0.2,-0.3,21
Franco Umeh-Chibueze,a,100.0,100.0,4.4,0,0.0,0.0,27
Justin Devenny,a,,,4.5,0,0.7,0.7,27
Caleb Kporha,a,,,4.0,0,0.0,0.0,27
Jordan Pickford,a,,,5.0,2,3.4,3.4,22
James Tarkowski,a,100.0,100.0,4.8,1,1.4,1.4,22
Tyler Dibling,a,100.0,100.0,4.5,2,2.3,2.3,20
Mateus Gonçalo Espanha Fernandes,a,100.0,0.0,5.0,0,0.9,0.0,20
Joseph O'Brien-Whitmarsh,a,,,4.5,0,-0.5,-0.5,20
Welington Damascena Santos,a,,,4.0,0,0.7,0.7,20
Dominic Solanke-Mitchell,a,100.0,100.0,7.5,9,5.4,5.9,20
Ashley Phillips,u,0.0,0.0,4.0,0,0.0,0.0,20
Brandon Austin,a,,,4.0,1,0.2,0.7,20
Rodrigo Bentancur,i,0.0,0.0,4.9,0,0.0,0.0,20
Lucas Bergvall,a,100.0,100.0,4.4,2,1.0,1.5,20
Yves Bissouma,a,100.0,100.0,4.9,1,1.2,1.7,20
Bryan Gil Salvatierra,u,0.0,0.0,5.0,0,0.0,0.0,20
Ben Davies,i,0.0,0.0,4.3,0,0.0,0.0,20
Alfie Devine,u,0.0,0.0,4.5,0,0.0,0.0,20
Norberto Bercique Gomes Betuncal,a,,,5.1,2,6.0,6.0,27
Jarrad Branthwaite,a,100.0,100.0,4.8,2,2.2,2.2,27
Dominic Calvert-Lewin,i,0.0,0.0,5.4,0,0.0,0.0,27
Youssef Ramalho Chermiti,i,0.0,0.0,4.9,0,0.0,0.0,22
Séamus Coleman,d,50.0,0.0,4.3,0,0.0,0.0,27
Idrissa Gueye,a,100.0,100.0,4.8,2,1.5,1.5,27
James Garner,a,100.0,100.0,4.9,2,1.5,1.5,27
Daniel Iversen,a,,,3.9,0,-0.5,0.0,27
Federico Chiesa,a,100.0,100.0,6.8,0,1.5,0.5,27
Neco Williams,a,,,4.4,9,3.3,3.3,27
Omar Richards,u,0.0,0.0,4.5,0,0.0,0.0,27
Jonathan Panzo,u,0.0,0.0,4.0,0,0.0,0.0,27
Massimo Luongo,a,100.0,100.0,4.4,0,-0.5,-0.5,29
Luke Woolfenden,a,,,3.9,0,0.5,0.5,29
William Osula,a,,,4.9,0,1.7,1.7,35
Eddie Howe,a,,,1.5,4,8.3,8.3,35
Álex Moreno Lopera,a,100.0,100.0,4.2,0,1.5,1.0,35
Jack Harrison,a,100.0,100.0,5.2,2,2.8,2.8,27
Tim Iroegbunam,a,100.0,100.0,4.3,1,1.8,1.8,27
João Neves Virgínia,a,,,3.9,0,0.0,0.0,27
Dwight McNeil,i,0.0,0.0,5.1,0,0.0,0.0,27
Vitalii Mykolenko,a,100.0,100.0,4.4,6,2.5,2.5,27
Iliman Ndiaye,i,0.0,0.0,5.3,0,0.0,0.0,27
Nathan Patterson,a,100.0,25.0,4.4,0,0.0,0.0,27
Jordan Pickford,a,,,5.1,2,1.8,1.8,27
James Tarkowski,a,100.0,100.0,4.9,2,3.0,3.0,27
Youssef Ramalho Chermiti,a,100.0,0.0,4.9,0,0.0,0.0,27
Jake O'Brien,a,,,4.5,10,3.2,3.2,27
Jenson Metcalfe,u,0.0,0.0,4.5,0,0.0,0.0,27
Roman Dixon,a,,,4.0,0,0.0,0.0,27
Orel Mangala,i,0.0,0.0,5.0,0,0.0,0.0,27
Kalvin Phillips,a,100.0,100.0,4.8,1,0.5,0.5,29
Ola Aina,a,100.0,100.0,5.2,1,1.5,1.0,35
Ryan Yates,a,100.0,100.0,4.8,1,1.0,1.0,29
Elliot Anderson,a,100.0,100.0,5.0,2,4.8,4.3,35
Gavin Bazunu,u,0.0,0.0,4.3,0,0.0,0.0,27
Taiwo Awoniyi,a,100.0,100.0,5.5,0,1.5,1.0,35
Tosin Adarabioyo,a,,,4.2,2,3.5,3.5,24
Wesley Fofana,i,0.0,0.0,4.3,0,0.0,0.0,24
Jadon Sancho,a,100.0,100.0,6.2,1,1.8,1.8,24
David Moyes,a,,,0.5,4,6.8,6.8,27
Isaac Heath,a,,,4.5,0,0.0,0.0,27
Coby Ebere,a,,,4.5,0,0.0,0.0,27
Reiss Nelson,i,0.0,0.0,5.0,0,0.0,0.0,27
Emile Smith Rowe,a,100.0,75.0,5.1,0,3.3,2.5,27
Kevin Schade,a,,,5.1,1,2.0,2.5,21
Igor Thiago Nascimento Rodrigues,i,0.0,0.0,5.9,0,0.0,0.0,21
Ivan Toney,u,0.0,0.0,7.3,0,0.0,0.0,21
Joachim Andersen,a,100.0,100.0,4.2,2,1.0,1.0,27
Calvin Bassey,a,100.0,100.0,4.5,1,3.3,3.3,27
Willy Boly,a,100.0,100.0,4.2,0,1.0,0.5,35
Treymaurice Nyoni,a,,,4.5,0,2.0,1.5,24
Ezra Mayers,a,,,4.0,0,0.0,-0.5,20
Sam Johnstone,a,100.0,100.0,4.3,0,0.0,0.0,20
Rayan Aït-Nouri,a,100.0,100.0,4.8,1,4.2,4.2,20
Boubacar Traoré,d,50.0,0.0,4.8,0,0.0,0.0,20
Luke Cundle,a,,,4.5,0,0.0,0.0,20
Matheus Santos Carneiro Da Cunha,a,100.0,0.0,7.0,0,5.5,0.0,20
Nathan Fraser,u,0.0,0.0,4.5,0,0.0,0.0,20
Manor Solomon,u,0.0,0.0,5.4,0,0.0,0.0,22
Amara Nallo,a,,,4.0,0,2.0,1.5,24
Joe Aribo,a,,,4.9,10,3.0,3.5,24
Armel Bella-Kotchap,a,,,3.9,0,-1.0,-0.5,24
Shea Charles,u,0.0,0.0,4.5,0,0.0,0.0,24
Noni Madueke,a,100.0,100.0,6.1,9,5.3,4.8,23
Marc Guiu Paz,a,,,4.7,0,0.7,0.2,23
Benicio Baker-Boaitey,u,0.0,0.0,4.5,0,0.0,0.0,21
Mykhailo Mudryk,s,0.0,0.0,6.2,0,0.0,0.0,23
Nicolas Jackson,a,,,7.8,5,3.7,3.2,23
Gabriel Fernando de Jesus,i,0.0,0.0,6.6,0,0.0,0.0,24
Gabriel dos Santos Magalhães,a,100.0,100.0,6.3,2,3.3,2.8,24
Kai Havertz,i,0.0,100.0,7.8,12,0.0,5.5,24
Ben Johnson,a,100.0,100.0,3.9,-1,-0.4,0.1,22
Freddie Ladapo,u,0.0,0.0,4.5,0,0.0,0.0,22
Massimo Luongo,a,100.0,100.0,4.4,1,-0.8,-0.3,22
Jarell Quansah,a,100.0,100.0,3.9,0,1.2,1.2,22
Rhys Williams,u,0.0,0.0,4.0,0,0.0,0.0,22
Andrew Robertson,a,,,5.9,1,3.2,3.2,22
Dominik Szoboszlai,a,100.0,100.0,6.3,2,1.8,1.8,22
Konstantinos Tsimikas,a,100.0,100.0,4.6,5,3.2,3.2,22
Virgil van Dijk,a,,,6.4,6,4.4,4.4,22
Federico Chiesa,a,100.0,100.0,6.8,1,1.2,1.2,22
Vítezslav Jaros,a,,,4.0,0,1.0,1.0,22
Karl Hein,u,0.0,0.0,4.0,0,0.0,0.0,24
Jurriën Timber,a,100.0,100.0,5.6,1,2.7,2.2,24
Alfie Pond,a,,,3.9,0,0.0,-0.5,23
Tom Cairney,a,100.0,75.0,4.8,0,0.3,0.2,27
Timothy Castagne,a,100.0,100.0,4.2,2,1.7,1.7,27
Issa Diop,a,,,4.4,2,1.0,1.0,27
Alex Iwobi,a,,,5.6,1,1.7,1.7,27
Andrey Nascimento dos Santos,u,0.0,0.0,4.5,0,0.0,0.0,25
Sven Botman,d,75.0,75.0,4.4,1,0.2,-0.2,20
Tom Cannon,u,0.0,0.0,4.5,0,0.0,0.0,22
Hamza Choudhury,a,100.0,100.0,4.3,0,0.2,0.2,22
Conor Coady,a,100.0,100.0,4.0,0,0.6,0.6,22
Patson Daka,a,100.0,100.0,4.8,1,1.2,1.2,22
Bobby De Cordova-Reid,a,100.0,100.0,5.2,0,0.4,0.4,22
Danny Welbeck,a,100.0,100.0,5.5,1,0.2,0.2,21
Mats Wieffer,d,50.0,50.0,4.7,0,0.9,0.9,21
James Justin,a,,,4.2,1,1.2,1.2,22
Jayden Danns,u,0.0,,4.5,0,0.0,1.9,24
Kamaldeen Sulemana,a,100.0,100.0,5.0,4,0.8,1.3,24
Adam Lallana,d,50.0,100.0,5.0,1,-0.2,0.0,24
Juan Larios López,i,0.0,0.0,3.9,0,0.0,0.0,24
Bernd Leno,a,,,5.0,3,2.3,2.3,27
Saša Lukić,s,0.0,100.0,4.8,1,0.0,1.7,27
Josh Bowler,u,0.0,0.0,4.5,0,0.0,0.0,35
Carlos Miguel dos Santos Pereira,a,100.0,100.0,4.1,0,1.0,0.5,35
Nathan Aké,i,0.0,100.0,5.3,0,0.0,3.5,22
Bernardo Veiga de Carvalho e Silva,a,,,6.2,0,3.2,3.7,22
Oscar Bobb,d,25.0,25.0,4.7,0,0.0,0.1,22
Scott Carson,a,,,4.0,0,0.0,0.5,22
Kevin De Bruyne,a,100.0,100.0,9.4,12,5.6,6.1,22
Jérémy Doku,i,0.0,100.0,6.2,12,0.0,3.9,22
Rodrigo Muniz Carvalho,a,100.0,100.0,5.5,9,3.7,3.7,27
Eric da Silva Moreira,a,,,4.3,0,1.0,0.5,35
Danilo dos Santos de Oliveira,a,100.0,100.0,4.7,0,1.2,0.7,35
Nathan Broadhead,a,100.0,100.0,4.9,1,0.7,0.7,27
Leandro Trossard,a,100.0,100.0,6.8,2,6.5,6.0,24
Jarrod Bowen,d,50.0,0.0,7.3,0,0.9,0.0,22
Vladimír Coufal,a,,,4.2,0,-0.2,-0.2,22
Aaron Cresswell,a,100.0,100.0,3.9,1,0.6,0.6,22
George Earthy,u,0.0,0.0,4.5,0,0.0,0.0,22
Emerson Palmieri dos Santos,a,100.0,100.0,4.4,1,1.6,1.6,22
Łukasz Fabiański,a,100.0,100.0,4.1,2,1.0,1.0,22
Wes Foderingham,a,,,4.3,0,0.0,0.0,22
Danny Ings,a,100.0,100.0,5.0,1,1.2,1.2,22
Max Kilman,a,100.0,100.0,4.3,1,0.6,0.6,22
Mohammed Kudus,a,100.0,100.0,6.2,2,2.2,2.2,22
Luis Guilherme Lira dos Santos,a,,,4.6,1,0.6,0.6,22
Lucas Tolentino Coelho de Lima,a,100.0,100.0,5.7,1,2.4,2.4,22
Toti António Gomes,d,75.0,0.0,4.3,0,0.8,0.0,22
Benjamin White,a,100.0,0.0,6.1,0,0.5,0.0,24
Oleksandr Zinchenko,a,100.0,100.0,4.8,0,0.7,0.2,24
Tomiyasu Takehiro,i,0.0,0.0,4.8,0,0.0,0.0,23
Enzo Maresca,a,,,1.5,1,4.5,4.0,23
Eddie Nketiah,a,100.0,100.0,5.9,1,1.8,1.8,23
Naouirou Ahamada,u,0.0,0.0,4.5,0,0.0,0.0,23
Norberto Murara Neto,a,100.0,100.0,4.1,0,0.5,0.0,24
Cameron Burgess,d,50.0,,3.8,0,0.0,0.0,27
Wes Burns,i,0.0,0.0,4.8,0,0.0,0.0,27
Conor Chaplin,d,25.0,75.0,5.1,0,0.0,0.0,27
Cieran Slicker,a,,,3.9,0,0.0,0.0,27
Jack Taylor,a,100.0,100.0,4.8,1,1.0,1.0,27
Axel Tuanzebe,i,0.0,100.0,3.9,4,0.0,0.7,27
Asher Agbinone,u,0.0,0.0,4.5,0,0.0,0.0,23
Naouirou Ahamada,u,0.0,0.0,4.5,0,0.0,0.0,21
Christian Walton,a,100.0,0.0,4.3,0,0.0,0.0,27
Luke Woolfenden,a,,,3.9,0,0.3,0.3,27
Myles Lewis-Skelly,a,100.0,100.0,4.5,7,2.5,2.0,24
Alexis Mac Allister,a,100.0,100.0,6.2,3,6.2,6.2,22
James McConnell,a,100.0,100.0,4.4,0,1.0,1.0,22
Tyler Morton,a,100.0,100.0,4.4,0,1.0,1.0,22
Bruno Borges Fernandes,a,100.0,100.0,8.4,8,3.4,3.4,22
Altay Bayindir,a,,,4.3,0,0.0,0.0,22
Carlos Henrique Casimiro,a,100.0,100.0,4.7,0,0.6,0.6,22
Diogo Dalot Teixeira,a,100.0,100.0,5.0,1,0.6,0.6,22
Alejandro Garnacho,a,100.0,100.0,5.9,1,1.4,1.4,22
Tom Heaton,a,,,3.9,0,0.0,0.0,22
Rasmus Højlund,a,100.0,100.0,6.9,1,1.6,1.6,22
Victor Lindelöf,d,50.0,25.0,4.3,0,0.0,0.0,22
Harry Maguire,a,100.0,100.0,4.9,0,0.6,0.6,22
Justin Devenny,a,,,4.5,1,0.8,0.8,24
Asher Agbinone,u,0.0,0.0,4.5,0,0.0,0.0,24
Bukayo Saka,i,0.0,0.0,10.2,0,0.0,0.0,22
William Saliba,d,50.0,100.0,6.2,0,1.6,3.1,22
Kalvin Phillips,d,75.0,50.0,4.8,0,0.8,0.5,27
Joachim Kayi-Sanda,a,,,4.0,0,-1.0,-0.5,24
Albert Grønbæk,a,,,5.0,2,0.0,0.5,24
Arijanet Muric,i,0.0,100.0,4.4,0,0.0,0.0,27
Đorđe Petrović,u,0.0,0.0,4.4,0,0.0,0.0,25
Renato Palma Veiga,u,0.0,0.0,4.4,0,0.0,0.0,25
Robert Sánchez,a,,,4.6,0,1.2,1.2,25
Thomas Partey,a,100.0,100.0,5.0,2,2.9,2.9,22
Kieran Tierney,a,100.0,100.0,4.3,0,0.7,0.7,22
Tomiyasu Takehiro,i,0.0,0.0,4.8,0,0.0,0.0,22
Maldini Kacurri,a,,,4.0,0,0.5,0.5,22
Ayden Heaven,a,,,4.0,0,0.5,0.5,22
Ismeal Kabia,a,,,4.5,0,0.5,0.5,22
Josh Nichols,a,,,4.0,0,0.5,0.5,22
Nathan Butler-Oyedeji,a,,,4.5,0,0.5,0.5,22
Mikel Arteta,a,,,1.5,0,4.5,4.5,22
Ross Barkley,i,0.0,0.0,5.2,0,0.0,0.0,22
Enzo Barrenechea,u,0.0,0.0,4.9,0,0.0,0.0,22
Emiliano Buendía Stati,a,,,5.1,0,0.6,0.1,22
Lucas Digne,a,,,4.6,4,2.8,2.3,22
Lewis Dobbin,u,0.0,0.0,5.0,0,0.0,0.0,22
Samuel Iling-Junior,u,0.0,0.0,5.4,0,0.0,0.0,22
Boubacar Kamara,a,100.0,100.0,5.0,1,2.0,1.5,22
Kaine Kesler-Hayden,u,0.0,0.0,4.0,0,0.0,0.0,22
Emiliano Martínez Romero,a,100.0,100.0,5.0,2,2.8,2.3,22
John McGinn,d,75.0,0.0,5.2,0,0.8,0.0,22
Unai Emery,a,,,0.8,0,1.6,1.1,22
David Brooks,a,100.0,100.0,4.9,3,2.4,2.4,22
Ryan Christie,a,100.0,100.0,4.9,1,2.4,2.4,22
Lewis Cook,a,100.0,100.0,5.0,2,2.4,2.4,22
Enes Ünal,i,0.0,0.0,5.4,0,0.0,0.0,22
Romain Faivre,u,0.0,0.0,5.0,0,0.0,0.0,22
Hamed Traorè,u,0.0,0.0,4.5,0,0.0,0.0,22
James Hill,i,0.0,25.0,3.9,0,0.0,0.6,22
Will Dennis,a,,,4.0,0,0.0,0.0,3
Daniel Jebbison,a,100.0,100.0,4.5,0,0.2,0.2,22
Milos Kerkez,a,100.0,100.0,4.8,7,5.4,5.4,22
Alex Scott,i,0.0,0.0,4.7,0,0.0,0.0,22
Antoine Semenyo,a,100.0,100.0,5.6,5,5.6,5.6,22
Marcos Senesi,i,0.0,0.0,4.6,0,0.0,0.0,22
Luis Sinisterra,i,0.0,0.0,4.8,0,0.0,0.0,22
Mark Travers,a,,,4.4,0,1.8,1.8,22
Kristoffer Ajer,a,100.0,0.0,4.4,0,0.0,0.0,22
Ethan Brierley,a,100.0,100.0,4.4,0,0.0,-1.0,22
Nathan Collins,a,,,4.5,1,3.0,2.0,22
Mikkel Damsgaard,a,100.0,100.0,5.0,3,3.8,2.8,22
Josh Dasilva,i,0.0,0.0,4.8,0,0.0,0.0,22
Vitaly Janelt,a,100.0,100.0,4.9,3,2.2,1.2,22
Mathias Jensen,a,100.0,100.0,5.3,1,1.4,0.4,22
Yunus Emre Konak,a,,,4.4,0,0.0,-1.0,22
Keane Lewis-Potter,a,,,5.0,2,4.0,3.0,22
Kevin Schade,a,,,5.1,1,2.8,1.8,22
Ivan Toney,u,0.0,0.0,7.3,0,0.0,0.0,22
Ryan Trevitt,a,,,4.4,0,0.0,-1.0,22
Gustavo Nunes Fernandes Gomes,i,0.0,0.0,4.9,0,0.0,0.0,22
Jayden Meghoma,u,0.0,0.0,4.0,0,0.0,0.0,22
Tony Yogane,u,0.0,,4.5,0,0.0,-1.0,22
Paris Maghoma,a,,,4.5,0,0.4,-0.6,22
Benjamin Arthur,a,,,4.0,0,0.0,-1.0,22
Thomas Frank,a,,,0.8,0,1.6,0.6,22
Simon Adingra,a,100.0,100.0,5.2,0,2.4,2.4,22
Benicio Baker-Boaitey,u,0.0,0.0,4.5,0,0.0,0.0,22
Carlos Baleba,a,100.0,100.0,5.0,1,2.0,2.0,22
Amario Cozier-Duberry,u,0.0,0.0,4.5,0,0.0,0.0,22
Mahmoud Dahoud,u,0.0,0.0,4.9,0,0.0,0.0,22
Jayce Fitzgerald,a,,,4.5,0,0.0,0.0,22
Alfie Dorrington,a,,,4.0,0,0.2,0.7,20
Joachim Kayi-Sanda,a,,,4.0,0,-1.5,-1.0,27
Anthony Elanga,a,100.0,100.0,5.5,2,3.2,2.7,35
Jaden Philogene,a,100.0,100.0,5.3,15,5.7,5.7,27
Conor Townsend,a,,,3.9,0,0.7,0.7,27
Sam Szmodics,i,0.0,100.0,5.7,1,0.0,0.3,27
Sam Morsy,a,100.0,100.0,4.9,1,0.5,1.0,21
Corrie Ndaba,u,0.0,0.0,4.0,0,0.0,0.0,21
Jens Cajuste,a,100.0,50.0,4.5,2,1.7,0.8,27
Godwill Kukonki,a,,,4.0,0,0.0,0.0,22
Alex Murphy,u,0.0,,4.0,0,0.0,0.0,22
Miguel Almirón Rejala,a,,,5.4,0,1.2,0.2,22
Harvey Barnes,i,0.0,0.0,5.9,0,0.0,0.0,22
Sven Botman,a,100.0,100.0,4.4,0,2.4,1.4,22
Wayne Hennessey,a,,,4.0,0,0.0,1.0,22
Jack Clarke,a,,,5.4,2,2.3,2.3,27
Alex Palmer,a,,,4.5,2,2.0,2.0,27
Facundo Buonanotte,a,100.0,100.0,4.6,2,0.5,1.0,27
Jordan Ayew,a,100.0,100.0,5.2,0,0.5,1.0,27
Lewis Dunk,d,75.0,100.0,4.3,2,1.5,2.0,22
Pervis Estupiñán,a,100.0,100.0,5.0,2,3.8,3.8,22
Evan Ferguson,i,0.0,50.0,5.5,0,0.0,0.0,22
Billy Gilmour,u,0.0,0.0,5.0,0,0.0,0.0,22
Pascal Groß,u,0.0,0.0,6.5,0,0.0,0.0,22
Odsonne Edouard,a,100.0,100.0,5.1,0,-0.5,0.0,27
Boubakary Soumaré,a,100.0,100.0,4.4,2,1.5,2.0,27
Morgan Gibbs-White,a,100.0,100.0,6.4,1,2.2,1.7,35
John Ruddy,a,,,4.0,0,1.0,0.0,22
Jan Bednarek,a,100.0,100.0,4.0,7,1.2,1.2,22
Armel Bella-Kotchap,a,,,3.9,0,-1.0,-1.0,22
Hamza Choudhury,u,0.0,0.0,4.4,0,0.0,0.0,27
Conor Coady,a,100.0,100.0,4.0,0,-0.2,0.3,27
Patson Daka,a,100.0,100.0,4.8,1,0.2,0.7,27
Bobby De Cordova-Reid,a,100.0,100.0,5.2,2,0.8,1.3,27
Victor Kristiansen,a,100.0,100.0,4.4,1,0.2,0.7,27
Wanya Marçal-Madivádua,u,0.0,0.0,4.5,0,0.0,0.0,27
Stephy Mavididi,a,,,5.0,1,0.5,1.0,27
Kasey McAteer,a,100.0,100.0,4.7,0,-0.5,0.0,27
Wilfred Ndidi,a,100.0,100.0,4.9,2,1.5,2.0,27
Jack Hinshelwood,d,75.0,50.0,4.9,0,0.0,0.0,22
Igor Julio dos Santos de Paulo,i,0.0,0.0,4.4,0,0.0,0.0,22
João Pedro Junqueira de Jesus,a,100.0,100.0,5.6,2,4.6,4.6,22
Kacper Kozłowski,u,0.0,0.0,4.5,0,0.0,0.0,22
Tariq Lamptey,a,100.0,100.0,4.4,1,1.6,1.6,22
Solly March,a,100.0,100.0,6.5,0,0.2,0.2,22
Adrian Mazilu,u,0.0,0.0,4.5,0,0.0,0.0,22
James Milner,i,0.0,0.0,5.0,0,0.0,0.0,22
Yankuba Minteh,a,100.0,100.0,5.0,12,3.0,3.0,22
Mitoma Kaoru,a,100.0,100.0,6.3,12,5.4,5.4,22
Jakub Moder,u,0.0,,4.4,0,0.0,0.4,22
Deniz Undav,u,0.0,0.0,5.5,0,0.0,0.0,22
Jan Paul van Hecke,a,100.0,100.0,4.5,2,4.2,4.2,22
Joël Veltman,a,100.0,100.0,4.4,2,3.2,3.2,22
Joe Hodge,u,0.0,0.0,4.5,0,0.0,0.0,24
Caleb Okoli,a,100.0,100.0,4.0,0,-0.2,0.3,27
Tom Edozie,a,,,4.5,0,0.0,0.0,20
Ricardo Barbosa Pereira,a,100.0,25.0,4.1,0,-0.5,0.0,27
Luke Thomas,a,,,3.9,1,-0.2,0.3,27
Jamie Vardy,a,100.0,100.0,5.3,2,1.5,2.0,27
Jannik Vestergaard,a,100.0,100.0,3.9,-1,-0.5,0.0,27
Danny Ward,a,,,3.9,0,-0.5,0.0,27
Nathaniel Phillips,u,0.0,0.0,4.0,0,0.0,0.0,21
Jarell Quansah,a,100.0,100.0,3.9,0,1.2,1.2,21
Bart Verbruggen,a,100.0,100.0,4.5,2,4.4,4.4,22
Adam Webster,a,100.0,100.0,4.3,0,1.4,1.4,22
Danny Welbeck,a,100.0,100.0,5.5,2,0.6,0.6,22
Mats Wieffer,d,50.0,50.0,4.7,0,0.0,0.0,22
Brajan Gruda,d,75.0,100.0,5.4,0,0.8,1.0,22
Yasin Ayari,a,100.0,100.0,5.0,2,1.8,1.8,22
Ibrahim Sangaré,i,0.0,0.0,4.3,0,0.0,0.0,22
Matz Sels,a,100.0,100.0,5.0,1,5.4,6.4,22
Harry Toffolo,a,,,4.2,0,0.2,1.2,22
Hwang Ui-jo,u,0.0,0.0,4.5,0,0.0,0.0,22
Chris Wood,a,100.0,100.0,7.1,12,8.6,9.6,22
Joe Worrall,u,0.0,0.0,4.5,0,0.0,0.0,22
Andrew Moran,u,0.0,0.0,5.0,0,0.0,0.0,22
Carl Rushworth,u,0.0,0.0,4.0,0,0.0,0.0,22
Georginio Rutter,a,100.0,100.0,5.1,6,3.0,3.0,22
Ferdi Kadioglu,i,0.0,0.0,4.5,0,0.0,0.0,22
Killian Cahill,a,,,3.9,0,0.0,0.0,22
Jacob Slater,a,,,4.0,0,0.0,0.0,22
Fabian Hürzeler,a,,,1.1,0,2.5,2.5,22
Benoît Badiashile,i,0.0,0.0,4.3,0,0.0,0.0,22
Lucas Bergström,a,,,3.9,0,0.0,0.5,22
Marcus Bettinelli,a,,,3.9,0,0.0,0.5,22
Moisés Caicedo Corozo,a,,,4.9,1,1.6,2.1,22
Cesare Casadei,a,,,4.4,0,0.0,0.5,22
Trevoh Chalobah,a,100.0,100.0,4.4,8,4.8,5.3,22
Ben Chilwell,a,,,4.6,0,0.0,0.5,22
Carney Chukwuemeka,a,100.0,100.0,4.7,0,0.0,0.5,22
Levi Colwill,d,75.0,75.0,4.5,0,0.9,1.3,22
Marc Cucurella Saseta,a,100.0,100.0,5.2,9,2.8,3.3,22
David Datro Fofana,u,0.0,0.0,5.4,0,0.0,0.0,22
Deivid Washington de Souza Eugênio,a,,,4.9,0,0.0,0.5,22
Kiernan Dewsbury-Hall,a,100.0,0.0,5.5,6,1.2,0.0,22
Enzo Fernández,d,75.0,75.0,4.9,0,0.9,1.3,22
Conor Gallagher,u,0.0,0.0,5.9,0,0.0,0.0,22
Alfie Gilchrist,u,0.0,0.0,4.0,0,0.0,0.0,22
Malo Gusto,a,100.0,100.0,4.9,1,0.8,1.3,22
Reece James,a,100.0,100.0,4.8,6,2.6,3.1,22
