player_name,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,event_points,ep_next,ep_this,gw
Remy Rees-Dottin,a,,,4.5,0,-0.3,0.2,23
Matai Akinmboni,a,,,4.0,0,-0.5,0.0,23
Julio Soler,i,0.0,0.0,4.0,0,0.0,0.0,23
Daniel Adu-Adjei,a,,,4.5,0,-0.5,0.0,23
Dominic Sadi,a,,,4.5,0,-0.5,0.0,23
Callan McKenna,a,,,4.0,0,-0.5,0.0,23
Zain Silcott-Duberry,a,,,4.5,1,0.0,0.5,23
Andoni Iraola,a,,,1.1,13,2.0,2.5,23
Mathias Jensen,a,100.0,100.0,5.3,1,1.8,1.8,23
Kim Ji-soo,a,,,3.9,0,0.0,0.0,23
Yunus Emre Konak,a,,,4.4,0,0.0,0.0,23
Keane Lewis-Potter,a,,,5.0,1,4.0,4.0,23
Bryan Mbeumo,a,100.0,100.0,7.9,7,7.5,7.5,23
Ben Mee,a,100.0,100.0,4.2,1,0.2,0.2,23
Christian Nørgaard,a,100.0,100.0,4.8,1,3.2,3.2,23
Frank Onyeka,u,0.0,0.0,4.9,0,0.0,0.0,23
Myles Peart-Harris,u,0.0,0.0,4.5,0,0.0,0.0,23
Ethan Pinnock,a,100.0,0.0,4.4,0,0.0,0.0,23
Mads Roerslev Rasmussen,u,0.0,100.0,4.3,2,0.0,3.0,23
Archie Harris,a,,,4.0,0,-0.5,0.0,20
Ivan Toney,u,0.0,0.0,7.3,0,0.0,0.0,23
Hákon Valdimarsson,a,,,3.9,0,0.0,0.0,23
Yoane Wissa,a,100.0,100.0,6.3,2,5.2,5.2,23
Yehor Yarmoliuk,a,,,4.4,1,1.2,1.2,23
Mathias Jorgensen,u,0.0,0.0,4.5,0,0.0,0.0,23
Fábio Freitas Gouveia Carvalho,a,100.0,100.0,4.6,0,0.0,0.0,23
Sepp van den Berg,a,100.0,100.0,4.1,2,3.5,3.5,23
Ryan Trevitt,a,,,4.4,0,0.0,0.0,23
Gustavo Nunes Fernandes Gomes,i,0.0,0.0,4.9,0,0.0,0.0,23
Jayden Meghoma,u,0.0,0.0,4.0,0,0.0,0.0,23
Tony Yogane,u,0.0,0.0,4.5,0,0.0,0.0,23
Paris Maghoma,a,,,4.5,0,0.2,0.2,23
Thomas Frank,a,,,0.8,8,1.6,1.6,23
Michael Kayode,a,,,4.5,0,2.1,2.1,23
Jack Hinshelwood,a,100.0,75.0,4.9,1,-0.3,0.2,23
Ibrahim Osman,u,0.0,0.0,5.0,0,0.0,0.0,23
Igor Julio dos Santos de Paulo,i,0.0,0.0,4.3,0,0.0,0.0,23
João Pedro Junqueira de Jesus,a,100.0,100.0,5.5,1,2.7,3.2,23
Tariq Lamptey,a,100.0,100.0,4.4,2,0.3,0.8,23
Solly March,i,0.0,100.0,6.5,0,0.0,0.0,23
Adrian Mazilu,u,0.0,0.0,4.5,0,0.0,0.0,23
James Milner,i,0.0,0.0,5.0,0,0.0,0.0,23
Yankuba Minteh,a,100.0,100.0,5.0,0,2.7,3.2,23
Mitoma Kaoru,a,100.0,100.0,6.3,2,5.7,6.2,23
Jakub Moder,u,0.0,0.0,4.4,0,0.0,0.0,23
Odeluga Offiah,u,0.0,0.0,4.0,0,0.0,0.0,23
Mathias Jorgensen,u,0.0,0.0,4.5,0,0.0,0.0,20
Remi Matthews,a,,,3.9,0,0.0,-0.5,20
Cameron Peupion,a,,,4.4,0,-0.5,0.0,23
Benjamin Arthur,a,,,4.0,0,0.0,0.0,23
Jeremy Sarmiento Morante,u,0.0,0.0,4.9,0,0.0,0.0,23
Jason Steele,i,0.0,0.0,4.1,0,0.0,0.0,23
Deniz Undav,u,0.0,0.0,5.5,0,0.0,0.0,23
Jan Paul van Hecke,a,100.0,100.0,4.5,2,2.7,3.2,23
Joël Veltman,a,100.0,100.0,4.4,2,2.0,2.5,23
Bart Verbruggen,a,100.0,100.0,4.5,1,2.5,3.0,23
Adam Webster,a,100.0,100.0,4.3,1,1.5,2.0,23
Danny Welbeck,a,100.0,100.0,5.5,2,0.7,1.2,23
Mats Wieffer,i,0.0,50.0,4.7,0,0.0,0.0,23
Brajan Gruda,a,100.0,75.0,5.4,1,0.0,0.4,23
Yasin Ayari,a,100.0,100.0,5.0,2,1.7,2.2,23
Andrew Moran,u,0.0,0.0,5.0,0,0.0,0.0,23
Carl Rushworth,u,0.0,0.0,4.0,0,0.0,0.0,23
Georginio Rutter,a,100.0,100.0,5.1,1,3.0,3.5,23
