name,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,event_points,ep_next,ep_this,gw,position,team,xP,minutes,starts,total_points,value
Leon Bailey,a,100.0,100.0,6.2,3,3.2,3.2,23,MID,Aston Villa,3.2,64,1,3,62
Ayden Heaven,a,,,4.0,0,0.0,0.5,23,DEF,Arsenal,0.5,0,0,0,40
Ross Barkley,i,0.0,0.0,5.2,0,0.0,0.0,23,MID,Aston Villa,0.0,0,0,0,52
Enzo Barrenechea,u,0.0,0.0,4.9,0,0.0,0.0,23,MID,Aston Villa,0.0,0,0,0,49
Emiliano Buendía Stati,a,,,5.1,1,0.8,0.8,23,MID,Aston Villa,0.8,18,0,1,51
Matty Cash,i,0.0,100.0,4.4,2,0.0,3.8,23,DEF,Aston Villa,3.8,90,1,2,44
Lucas Digne,a,,,4.6,2,3.5,3.5,23,DEF,Aston Villa,3.5,90,1,2,46
Lewis Dobbin,u,0.0,0.0,5.0,0,0.0,0.0,23,MID,Aston Villa,0.0,0,0,0,50
Jhon Durán,a,100.0,100.0,5.7,1,0.5,0.5,23,FWD,Aston Villa,0.5,24,0,1,58
Joe Gauci,a,,,4.0,0,0.0,0.0,23,GK,Aston Villa,0.0,0,0,0,40
Kortney Hause,a,,,3.9,0,0.0,0.0,23,DEF,Aston Villa,0.0,0,0,0,39
Samuel Iling-Junior,u,0.0,0.0,5.4,0,0.0,0.0,23,MID,Aston Villa,0.0,0,0,0,54
Boubacar Kamara,a,100.0,100.0,5.0,3,2.2,2.2,23,MID,Aston Villa,2.2,90,1,3,50
Kaine Kesler-Hayden,u,0.0,0.0,4.0,0,0.0,0.0,23,DEF,Aston Villa,0.0,0,0,0,40
Ezri Konsa Ngoyo,a,100.0,100.0,4.4,2,3.2,3.2,23,DEF,Aston Villa,3.2,90,1,2,44
Ian Maatsen,a,100.0,100.0,4.5,1,1.2,1.2,23,DEF,Aston Villa,1.2,52,0,1,45
Filip Marschall,u,0.0,0.0,4.0,0,0.0,0.0,23,GK,Aston Villa,0.0,0,0,0,40
Emiliano Martínez Romero,a,100.0,100.0,5.0,2,3.0,3.0,23,GK,Aston Villa,3.0,90,1,2,50
John McGinn,a,100.0,75.0,5.2,1,0.5,0.4,23,MID,Aston Villa,0.4,17,0,1,52
Tyrone Mings,i,0.0,100.0,4.4,1,0.0,3.2,23,DEF,Aston Villa,3.2,37,1,1,44
Kosta Nedeljković,a,,,3.9,0,0.0,0.0,23,DEF,Aston Villa,0.0,0,0,0,39
Morgan Rogers,a,100.0,100.0,5.6,1,2.0,2.0,23,MID,Aston Villa,2.0,71,1,1,56
Viljami Sinisalo,u,0.0,0.0,4.0,0,0.0,0.0,23,GK,Aston Villa,0.0,0,0,0,40
Lino da Cruz Sousa,u,0.0,0.0,4.0,0,0.0,0.0,23,DEF,Aston Villa,0.0,0,0,0,40
Youri Tielemans,a,,,5.5,1,3.5,3.5,23,MID,Aston Villa,3.5,90,1,1,55
Ollie Watkins,a,100.0,100.0,8.9,5,5.8,5.8,23,FWD,Aston Villa,5.8,65,1,5,89
Oliwier Zych,a,,,4.0,0,0.0,0.0,19,GK,Aston Villa,0.0,0,0,0,40
Leander Dendoncker,u,0.0,0.0,4.5,0,0.0,0.0,20,MID,Aston Villa,0.0,0,0,0,45
Amadou Onana,d,50.0,0.0,4.8,0,0.4,0.0,23,MID,Aston Villa,0.0,0,0,0,48
Lamare Bogarde,a,,,4.0,0,0.2,0.2,23,DEF,Aston Villa,0.2,0,0,0,40
Sil Swinkels,a,,,4.0,0,0.0,0.0,23,DEF,Aston Villa,0.0,0,0,0,40
Jamaldeen Jimoh,a,,,4.5,0,0.0,0.0,23,MID,Aston Villa,0.0,0,0,0,45
Donyell Malen,a,,,5.5,1,0.5,0.5,23,MID,Aston Villa,0.5,25,0,1,55
Andrés García,a,,,4.5,0,2.1,2.1,23,DEF,Aston Villa,2.1,0,0,0,45
Unai Emery,a,,,0.8,4,1.6,1.6,23,AM,Aston Villa,1.6,0,0,4,8
Max Aarons,u,0.0,0.0,4.3,0,0.0,0.0,23,DEF,Bournemouth,0.0,0,0,0,43
Tyler Adams,a,100.0,100.0,4.9,9,3.5,4.0,23,MID,Bournemouth,4.0,90,1,9,49
Jaidon Anthony,u,0.0,0.0,4.5,0,0.0,0.0,23,MID,Bournemouth,0.0,0,0,0,45
David Brooks,a,100.0,100.0,4.9,3,2.5,3.0,23,MID,Bournemouth,3.0,79,1,3,49
Ryan Christie,a,100.0,100.0,4.9,3,2.3,2.8,23,MID,Bournemouth,2.8,90,1,3,49
Lewis Cook,a,100.0,100.0,5.0,2,1.7,2.2,23,MID,Bournemouth,2.2,90,1,2,50
Enes Ünal,i,0.0,0.0,5.4,0,0.0,0.0,23,FWD,Bournemouth,0.0,0,0,0,54
Romain Faivre,u,0.0,0.0,5.0,0,0.0,0.0,23,MID,Bournemouth,0.0,0,0,0,50
Hamed Traorè,u,0.0,0.0,4.5,0,0.0,0.0,23,MID,Bournemouth,0.0,0,0,0,45
James Hill,i,0.0,0.0,3.9,0,0.0,0.0,23,DEF,Bournemouth,0.0,0,0,0,39
